x,y,z
0.101893,0.088287,0.849088
0.101893,0.088287,0.849088
0.101893,0.088287,0.849088
0.101893,0.088287,0.849088
0.101893,0.088287,0.849088
0.101893,0.088287,0.849088
0.101893,0.088288,0.849088
0.101893,0.088288,0.849088
0.101892,0.088288,0.849087
0.101892,0.088289,0.849087
0.101891,0.088289,0.849086
0.101890,0.088290,0.849086
0.101889,0.088291,0.849085
0.101888,0.088292,0.849084
0.101887,0.088293,0.849083
0.101885,0.088294,0.849082
0.101883,0.088296,0.849081
0.101881,0.088297,0.849080
0.101879,0.088299,0.849078
0.101877,0.088301,0.849076
0.101874,0.088304,0.849074
0.101871,0.088306,0.849072
0.101868,0.088309,0.849070
0.101864,0.088312,0.849067
0.101860,0.088315,0.849064
0.101856,0.088319,0.849061
0.101851,0.088323,0.849058
0.101846,0.088327,0.849054
0.101840,0.088332,0.849050
0.101835,0.088337,0.849046
0.101828,0.088342,0.849042
0.101822,0.088347,0.849037
0.101815,0.088353,0.849032
0.101807,0.088359,0.849027
0.101799,0.088366,0.849021
0.101791,0.088373,0.849015
0.101782,0.088381,0.849009
0.101773,0.088388,0.849002
0.101763,0.088397,0.848995
0.101753,0.088405,0.848988
0.101742,0.088415,0.848980
0.101730,0.088424,0.848972
0.101718,0.088434,0.848964
0.101706,0.088445,0.848955
0.101693,0.088456,0.848945
0.101679,0.088467,0.848936
0.101665,0.088479,0.848926
0.101650,0.088492,0.848915
0.101635,0.088505,0.848904
0.101618,0.088518,0.848893
0.101602,0.088532,0.848881
0.101584,0.088547,0.848868
0.101566,0.088562,0.848856
0.101548,0.088578,0.848842
0.101528,0.088594,0.848829
0.101508,0.088611,0.848814
0.101487,0.088628,0.848799
0.101466,0.088646,0.848784
0.101444,0.088665,0.848768
0.101421,0.088684,0.848752
0.101397,0.088704,0.848735
0.101373,0.088725,0.848718
0.101348,0.088746,0.848700
0.101322,0.088768,0.848682
0.101295,0.088790,0.848663
0.101267,0.088813,0.848643
0.101239,0.088837,0.848623
0.101210,0.088862,0.848602
0.101180,0.088887,0.848581
0.101149,0.088913,0.848559
0.101118,0.088939,0.848537
0.101085,0.088966,0.848514
0.101052,0.088994,0.848490
0.101018,0.089023,0.848466
0.100983,0.089053,0.848441
0.100947,0.089083,0.848415
0.100910,0.089114,0.848389
0.100872,0.089145,0.848362
0.100834,0.089178,0.848335
0.100794,0.089211,0.848307
0.100754,0.089245,0.848278
0.100712,0.089280,0.848248
0.100670,0.089316,0.848218
0.100627,0.089352,0.848187
0.100582,0.089389,0.848156
0.100537,0.089427,0.848124
0.100491,0.089466,0.848091
0.100444,0.089506,0.848057
0.100396,0.089546,0.848023
0.100346,0.089587,0.847988
0.100296,0.089630,0.847953
0.100245,0.089673,0.847916
0.100193,0.089717,0.847879
0.100139,0.089761,0.847841
0.100085,0.089807,0.847803
0.100030,0.089853,0.847763
0.099973,0.089901,0.847723
0.099916,0.089949,0.847682
0.099858,0.089998,0.847641
0.099798,0.090048,0.847598
0.099737,0.090099,0.847555
0.099676,0.090151,0.847511
0.099613,0.090204,0.847467
0.099549,0.090258,0.847421
0.099484,0.090313,0.847375
0.099417,0.090368,0.847328
0.099350,0.090425,0.847280
0.099282,0.090482,0.847231
0.099212,0.090541,0.847182
0.099141,0.090600,0.847132
0.099070,0.090660,0.847080
0.098997,0.090722,0.847029
0.098922,0.090784,0.846976
0.098847,0.090848,0.846922
0.098771,0.090912,0.846868
0.098693,0.090977,0.846813
0.098614,0.091043,0.846757
0.098534,0.091111,0.846700
0.098453,0.091179,0.846642
0.098370,0.091248,0.846583
0.098287,0.091319,0.846524
0.098202,0.091390,0.846463
0.098116,0.091462,0.846402
0.098028,0.091536,0.846340
0.097940,0.091610,0.846277
0.097850,0.091686,0.846213
0.097759,0.091762,0.846149
0.097667,0.091840,0.846083
0.097573,0.091918,0.846017
0.097478,0.091998,0.845949
0.097382,0.092079,0.845881
0.097285,0.092160,0.845812
0.097187,0.092243,0.845742
0.097087,0.092327,0.845671
0.096986,0.092412,0.845599
0.096883,0.092498,0.845526
0.096779,0.092585,0.845452
0.096675,0.092674,0.845378
0.096568,0.092763,0.845302
0.096461,0.092853,0.845226
0.096352,0.092945,0.845148
0.096242,0.093037,0.845070
0.096130,0.093131,0.844991
0.096017,0.093226,0.844910
0.095903,0.093322,0.844829
