x,y,z
-0.150174,0.300156,0.669779
-0.150174,0.300156,0.669779
-0.150174,0.300156,0.669779
-0.150174,0.300156,0.669779
-0.150174,0.300156,0.669778
-0.150174,0.300156,0.669778
-0.150174,0.300156,0.669778
-0.150174,0.300156,0.669777
-0.150174,0.300156,0.669777
-0.150174,0.300156,0.669776
-0.150174,0.300156,0.669775
-0.150174,0.300156,0.669773
-0.150174,0.300156,0.669772
-0.150174,0.300156,0.669770
-0.150174,0.300156,0.669768
-0.150174,0.300156,0.669766
-0.150174,0.300156,0.669763
-0.150174,0.300156,0.669760
-0.150174,0.300156,0.669756
-0.150174,0.300156,0.669752
-0.150174,0.300156,0.669748
-0.150174,0.300156,0.669743
-0.150174,0.300156,0.669738
-0.150174,0.300156,0.669732
-0.150174,0.300156,0.669726
-0.150174,0.300156,0.669719
-0.150174,0.300156,0.669712
-0.150174,0.300156,0.669704
-0.150174,0.300156,0.669695
-0.150174,0.300156,0.669686
-0.150174,0.300156,0.669676
-0.150173,0.300156,0.669666
-0.150173,0.300156,0.669655
-0.150173,0.300156,0.669643
-0.150173,0.300156,0.669631
-0.150173,0.300156,0.669618
-0.150173,0.300156,0.669604
-0.150173,0.300156,0.669590
-0.150173,0.300156,0.669574
-0.150173,0.300156,0.669558
-0.150173,0.300156,0.669541
-0.150173,0.300156,0.669524
-0.150173,0.300156,0.669505
-0.150173,0.300156,0.669486
-0.150173,0.300156,0.669465
-0.150173,0.300156,0.669444
-0.150173,0.300156,0.669422
-0.150173,0.300156,0.669399
-0.150173,0.300156,0.669375
-0.150173,0.300156,0.669350
-0.150173,0.300156,0.669325
-0.150173,0.300156,0.669298
-0.150173,0.300156,0.669270
-0.150173,0.300156,0.669241
-0.150173,0.300156,0.669211
-0.150173,0.300155,0.669181
-0.150173,0.300155,0.669149
-0.150173,0.300155,0.669116
-0.150173,0.300155,0.669082
-0.150173,0.300155,0.669047
-0.150173,0.300155,0.669010
-0.150173,0.300155,0.668973
-0.150173,0.300155,0.668935
-0.150173,0.300155,0.668895
-0.150173,0.300155,0.668854
-0.150173,0.300155,0.668812
-0.150173,0.300155,0.668769
-0.150173,0.300155,0.668725
-0.150172,0.300155,0.668679
-0.150172,0.300155,0.668632
-0.150172,0.300155,0.668584
-0.150172,0.300155,0.668535
-0.150172,0.300155,0.668485
-0.150172,0.300155,0.668433
-0.150172,0.300155,0.668380
-0.150172,0.300155,0.668325
-0.150172,0.300155,0.668270
-0.150172,0.300155,0.668213
-0.150172,0.300155,0.668154
-0.150172,0.300154,0.668095
-0.150172,0.300154,0.668034
-0.150172,0.300154,0.667971
-0.150172,0.300154,0.667908
-0.150172,0.300154,0.667843
-0.150172,0.300154,0.667776
-0.150171,0.300154,0.667708
-0.150171,0.300154,0.667639
-0.150171,0.300154,0.667568
-0.150171,0.300154,0.667496
-0.150171,0.300154,0.667423
-0.150171,0.300154,0.667348
-0.150171,0.300154,0.667271
-0.150171,0.300154,0.667193
-0.150171,0.300154,0.667114
-0.150171,0.300154,0.667033
-0.150171,0.300153,0.666951
-0.150171,0.300153,0.666867
-0.150171,0.300153,0.666781
-0.150170,0.300153,0.666695
-0.150170,0.300153,0.666606
-0.150170,0.300153,0.666516
-0.150170,0.300153,0.666425
-0.150170,0.300153,0.666332
-0.150170,0.300153,0.666237
-0.150170,0.300153,0.666141
-0.150170,0.300153,0.666044
-0.150170,0.300153,0.665944
-0.150170,0.300152,0.665843
-0.150169,0.300152,0.665741
-0.150169,0.300152,0.665637
-0.150169,0.300152,0.665532
-0.150169,0.300152,0.665424
-0.150169,0.300152,0.665316
-0.150169,0.300152,0.665205
-0.150169,0.300152,0.665093
-0.150169,0.300152,0.664980
-0.150169,0.300152,0.664864
-0.150168,0.300151,0.664747
-0.150168,0.300151,0.664629
-0.150168,0.300151,0.664509
-0.150168,0.300151,0.664387
-0.150168,0.300151,0.664263
-0.150168,0.300151,0.664138
-0.150168,0.300151,0.664011
-0.150168,0.300151,0.663883
-0.150167,0.300151,0.663753
-0.150167,0.300150,0.663621
-0.150167,0.300150,0.663487
-0.150167,0.300150,0.663352
-0.150167,0.300150,0.663215
-0.150167,0.300150,0.663077
-0.150167,0.300150,0.662936
-0.150166,0.300150,0.662794
-0.150166,0.300149,0.662651
-0.150166,0.300149,0.662505
-0.150166,0.300149,0.662358
-0.150166,0.300149,0.662209
-0.150166,0.300149,0.662059
-0.150166,0.300149,0.661907
-0.150165,0.300149,0.661753
-0.150165,0.300149,0.661597
-0.150165,0.300148,0.661440
-0.150165,0.300148,0.661280
-0.150165,0.300148,0.661120
-0.150165,0.300148,0.660957
-0.150164,0.300148,0.660793
-0.150164,0.300148,0.660627
-0.150164,0.300147,0.660459
-0.150164,0.300147,0.660289
-0.150164,0.300147,0.660118
-0.150164,0.300147,0.659945
-0.150163,0.300147,0.659770
-0.150163,0.300147,0.659594
-0.150163,0.300147,0.659416
-0.150163,0.300146,0.659236
-0.150163,0.300146,0.659054
-0.150162,0.300146,0.658871
-0.150162,0.300146,0.658686
-0.150162,0.300146,0.658499
-0.150162,0.300146,0.658310
-0.150162,0.300145,0.658120
-0.150161,0.300145,0.657927
-0.150161,0.300145,0.657734
-0.150161,0.300145,0.657538
-0.150161,0.300145,0.657341
-0.150161,0.300144,0.657141
-0.150160,0.300144,0.656941
-0.150160,0.300144,0.656738
-0.150160,0.300144,0.656534
-0.150160,0.300144,0.656328
-0.150160,0.300143,0.656120
-0.150159,0.300143,0.655910
-0.150159,0.300143,0.655699
-0.150159,0.300143,0.655486
-0.150159,0.300143,0.655271
-0.150159,0.300143,0.655055
-0.150158,0.300142,0.654837
-0.150158,0.300142,0.654617
-0.150158,0.300142,0.654395
-0.150158,0.300142,0.654172
-0.150157,0.300141,0.653947
-0.150157,0.300141,0.653720
-0.150157,0.300141,0.653491
-0.150157,0.300141,0.653261
-0.150156,0.300141,0.653029
-0.150156,0.300140,0.652796
-0.150156,0.300140,0.652560
-0.150156,0.300140,0.652323
-0.150156,0.300140,0.652084
-0.150155,0.300140,0.651844
-0.150155,0.300139,0.651602
-0.150155,0.300139,0.651358
-0.150155,0.300139,0.651112
-0.150154,0.300139,0.650865
-0.150154,0.300138,0.650616
-0.150154,0.300138,0.650366
-0.150154,0.300138,0.650114
-0.150153,0.300138,0.649860
-0.150153,0.300138,0.649604
-0.150153,0.300137,0.649347
-0.150152,0.300137,0.649088
-0.150152,0.300137,0.648827
-0.150152,0.300137,0.648565
-0.150152,0.300136,0.648301
-0.150151,0.300136,0.648036
-0.150151,0.300136,0.647769
-0.150151,0.300136,0.647500
-0.150151,0.300135,0.647230
-0.150150,0.300135,0.646958
-0.150150,0.300135,0.646684
-0.150150,0.300135,0.646409
-0.150149,0.300134,0.646132
-0.150149,0.300134,0.645854
-0.150149,0.300134,0.645574
-0.150149,0.300134,0.645292
-0.150148,0.300133,0.645009
-0.150148,0.300133,0.644724
-0.150148,0.300133,0.644438
-0.150147,0.300132,0.644150
-0.150147,0.300132,0.643861
-0.150147,0.300132,0.643569
-0.150147,0.300132,0.643277
-0.150146,0.300131,0.642983
-0.150146,0.300131,0.642687
-0.150146,0.300131,0.642390
-0.150145,0.300131,0.642091
-0.150145,0.300130,0.641791
-0.150145,0.300130,0.641489
-0.150144,0.300130,0.641186
-0.150144,0.300129,0.640881
-0.150144,0.300129,0.640575
-0.150143,0.300129,0.640267
-0.150143,0.300129,0.639958
-0.150143,0.300128,0.639647
-0.150142,0.300128,0.639335
-0.150142,0.300128,0.639021
-0.150142,0.300127,0.638706
-0.150142,0.300127,0.638390
-0.150141,0.300127,0.638072
-0.150141,0.300127,0.637752
-0.150141,0.300126,0.637431
-0.150140,0.300126,0.637109
-0.150140,0.300126,0.636785
-0.150140,0.300125,0.636460
-0.150139,0.300125,0.636134
-0.150139,0.300125,0.635806
-0.150139,0.300125,0.635477
-0.150138,0.300124,0.635146
-0.150138,0.300124,0.634814
-0.150138,0.300124,0.634481
-0.150137,0.300123,0.634146
-0.150137,0.300123,0.633810
-0.150136,0.300123,0.633473
-0.150136,0.300122,0.633134
-0.150136,0.300122,0.632794
-0.150135,0.300122,0.632453
-0.150135,0.300121,0.632110
-0.150135,0.300121,0.631766
-0.150134,0.300121,0.631421
-0.150134,0.300120,0.631075
-0.150134,0.300120,0.630727
-0.150133,0.300120,0.630378
-0.150133,0.300120,0.630028
-0.150133,0.300119,0.629676
-0.150132,0.300119,0.629323
-0.150132,0.300119,0.628969
-0.150132,0.300118,0.628614
-0.150131,0.300118,0.628258
-0.150131,0.300118,0.627900
-0.150130,0.300117,0.627542
-0.150130,0.300117,0.627182
