x,y,z
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295721,0.504909
-0.150907,0.295722,0.504908
-0.150907,0.295722,0.504908
-0.150907,0.295722,0.504908
-0.150907,0.295722,0.504908
-0.150907,0.295722,0.504908
-0.150907,0.295722,0.504908
-0.150907,0.295722,0.504907
-0.150907,0.295723,0.504907
-0.150907,0.295723,0.504907
-0.150907,0.295723,0.504907
-0.150907,0.295723,0.504906
-0.150907,0.295724,0.504906
-0.150907,0.295724,0.504906
-0.150906,0.295724,0.504905
-0.150906,0.295724,0.504905
-0.150906,0.295725,0.504905
-0.150906,0.295725,0.504904
-0.150906,0.295726,0.504904
-0.150906,0.295726,0.504903
-0.150906,0.295726,0.504903
-0.150906,0.295727,0.504902
-0.150906,0.295727,0.504902
-0.150906,0.295728,0.504901
-0.150906,0.295728,0.504901
-0.150906,0.295729,0.504900
-0.150905,0.295729,0.504900
-0.150905,0.295730,0.504899
-0.150905,0.295730,0.504898
-0.150905,0.295731,0.504898
-0.150905,0.295732,0.504897
-0.150905,0.295732,0.504896
-0.150905,0.295733,0.504895
-0.150904,0.295734,0.504895
-0.150904,0.295734,0.504894
-0.150904,0.295735,0.504893
-0.150904,0.295736,0.504892
-0.150904,0.295737,0.504891
-0.150904,0.295737,0.504890
-0.150903,0.295738,0.504889
-0.150903,0.295739,0.504888
-0.150903,0.295740,0.504887
-0.150903,0.295741,0.504886
-0.150903,0.295742,0.504885
-0.150902,0.295743,0.504884
-0.150902,0.295744,0.504883
-0.150902,0.295745,0.504881
-0.150902,0.295746,0.504880
-0.150902,0.295747,0.504879
-0.150901,0.295748,0.504878
-0.150901,0.295750,0.504876
-0.150901,0.295751,0.504875
-0.150901,0.295752,0.504873
-0.150900,0.295753,0.504872
-0.150900,0.295755,0.504870
-0.150900,0.295756,0.504869
-0.150899,0.295757,0.504867
-0.150899,0.295759,0.504866
-0.150899,0.295760,0.504864
-0.150899,0.295762,0.504862
-0.150898,0.295763,0.504861
-0.150898,0.295765,0.504859
-0.150898,0.295766,0.504857
-0.150897,0.295768,0.504855
-0.150897,0.295770,0.504853
-0.150896,0.295771,0.504851
-0.150896,0.295773,0.504849
-0.150896,0.295775,0.504847
-0.150895,0.295776,0.504845
-0.150895,0.295778,0.504843
-0.150895,0.295780,0.504841
-0.150894,0.295782,0.504839
-0.150894,0.295784,0.504837
-0.150893,0.295786,0.504835
-0.150893,0.295788,0.504832
-0.150893,0.295790,0.504830
-0.150892,0.295792,0.504828
-0.150892,0.295794,0.504825
-0.150891,0.295796,0.504823
-0.150891,0.295799,0.504820
-0.150890,0.295801,0.504818
-0.150890,0.295803,0.504815
-0.150889,0.295805,0.504812
-0.150889,0.295808,0.504810
-0.150888,0.295810,0.504807
-0.150888,0.295812,0.504804
-0.150887,0.295815,0.504801
-0.150887,0.295817,0.504798
-0.150886,0.295820,0.504796
-0.150886,0.295823,0.504793
-0.150885,0.295825,0.504790
-0.150884,0.295828,0.504787
-0.150884,0.295831,0.504783
-0.150883,0.295833,0.504780
-0.150883,0.295836,0.504777
-0.150882,0.295839,0.504774
-0.150882,0.295842,0.504771
-0.150881,0.295845,0.504767
-0.150880,0.295848,0.504764
-0.150880,0.295851,0.504760
-0.150879,0.295854,0.504757
-0.150878,0.295857,0.504753
-0.150878,0.295860,0.504750
-0.150877,0.295863,0.504746
-0.150876,0.295866,0.504743
-0.150876,0.295869,0.504739
-0.150875,0.295873,0.504735
-0.150874,0.295876,0.504731
-0.150874,0.295879,0.504727
-0.150873,0.295883,0.504723
-0.150872,0.295886,0.504720
-0.150871,0.295890,0.504716
-0.150871,0.295893,0.504711
-0.150870,0.295897,0.504707
-0.150869,0.295900,0.504703
-0.150868,0.295904,0.504699
-0.150868,0.295908,0.504695
-0.150867,0.295912,0.504690
-0.150866,0.295915,0.504686
-0.150865,0.295919,0.504682
-0.150864,0.295923,0.504677
