x,y,z
-0.149122,0.298278,0.503264
-0.149122,0.298278,0.503264
-0.149122,0.298278,0.503264
-0.149122,0.298278,0.503264
-0.149122,0.298278,0.503265
-0.149122,0.298278,0.503265
-0.149122,0.298278,0.503265
-0.149122,0.298278,0.503266
-0.149122,0.298278,0.503266
-0.149122,0.298278,0.503267
-0.149122,0.298278,0.503268
-0.149122,0.298278,0.503270
-0.149122,0.298278,0.503271
-0.149122,0.298278,0.503273
-0.149122,0.298278,0.503275
-0.149122,0.298278,0.503277
-0.149122,0.298278,0.503280
-0.149122,0.298278,0.503283
-0.149122,0.298278,0.503287
-0.149122,0.298278,0.503290
-0.149122,0.298278,0.503295
-0.149122,0.298278,0.503299
-0.149122,0.298278,0.503305
-0.149122,0.298278,0.503310
-0.149122,0.298278,0.503316
-0.149122,0.298278,0.503323
-0.149122,0.298278,0.503330
-0.149122,0.298278,0.503338
-0.149122,0.298278,0.503346
-0.149123,0.298279,0.503355
-0.149123,0.298279,0.503365
-0.149123,0.298279,0.503375
-0.149123,0.298279,0.503386
-0.149123,0.298279,0.503397
-0.149123,0.298279,0.503409
-0.149123,0.298279,0.503422
-0.149123,0.298279,0.503436
-0.149123,0.298280,0.503450
-0.149123,0.298280,0.503465
-0.149123,0.298280,0.503481
-0.149123,0.298280,0.503498
-0.149123,0.298280,0.503515
-0.149123,0.298280,0.503533
-0.149124,0.298281,0.503552
-0.149124,0.298281,0.503572
-0.149124,0.298281,0.503593
-0.149124,0.298281,0.503615
-0.149124,0.298281,0.503637
-0.149124,0.298282,0.503661
-0.149124,0.298282,0.503685
-0.149124,0.298282,0.503710
-0.149125,0.298283,0.503737
-0.149125,0.298283,0.503764
-0.149125,0.298283,0.503792
-0.149125,0.298283,0.503821
-0.149125,0.298284,0.503852
-0.149125,0.298284,0.503883
-0.149125,0.298284,0.503915
-0.149126,0.298285,0.503949
-0.149126,0.298285,0.503983
-0.149126,0.298285,0.504019
-0.149126,0.298286,0.504056
-0.149126,0.298286,0.504093
-0.149127,0.298287,0.504132
-0.149127,0.298287,0.504172
-0.149127,0.298287,0.504214
-0.149127,0.298288,0.504256
-0.149128,0.298288,0.504299
-0.149128,0.298289,0.504344
-0.149128,0.298289,0.504390
-0.149128,0.298290,0.504437
-0.149128,0.298290,0.504486
-0.149129,0.298291,0.504535
-0.149129,0.298291,0.504586
-0.149129,0.298292,0.504638
-0.149130,0.298292,0.504692
-0.149130,0.298293,0.504746
-0.149130,0.298294,0.504802
-0.149130,0.298294,0.504860
-0.149131,0.298295,0.504918
-0.149131,0.298295,0.504978
-0.149131,0.298296,0.505039
-0.149132,0.298297,0.505102
-0.149132,0.298297,0.505166
-0.149132,0.298298,0.505231
-0.149133,0.298299,0.505298
-0.149133,0.298299,0.505366
-0.149133,0.298300,0.505435
-0.149134,0.298301,0.505506
-0.149134,0.298302,0.505578
-0.149135,0.298302,0.505652
-0.149135,0.298303,0.505727
-0.149135,0.298304,0.505803
-0.149136,0.298305,0.505881
-0.149136,0.298305,0.505961
-0.149137,0.298306,0.506042
-0.149137,0.298307,0.506124
-0.149138,0.298308,0.506208
-0.149138,0.298309,0.506293
-0.149138,0.298310,0.506380
-0.149139,0.298311,0.506468
-0.149139,0.298312,0.506558
-0.149140,0.298313,0.506649
-0.149140,0.298314,0.506742
-0.149141,0.298315,0.506837
-0.149141,0.298316,0.506933
-0.149142,0.298317,0.507030
-0.149142,0.298318,0.507129
-0.149143,0.298319,0.507230
-0.149143,0.298320,0.507332
-0.149144,0.298321,0.507435
-0.149145,0.298322,0.507541
-0.149145,0.298323,0.507648
-0.149146,0.298324,0.507756
-0.149146,0.298325,0.507866
-0.149147,0.298326,0.507978
-0.149147,0.298327,0.508091
-0.149148,0.298329,0.508206
-0.149149,0.298330,0.508322
-0.149149,0.298331,0.508440
-0.149150,0.298332,0.508560
-0.149151,0.298334,0.508681
-0.149151,0.298335,0.508804
-0.149152,0.298336,0.508928
-0.149153,0.298337,0.509055
-0.149153,0.298339,0.509182
-0.149154,0.298340,0.509312
-0.149155,0.298341,0.509443
-0.149155,0.298343,0.509576
-0.149156,0.298344,0.509710
-0.149157,0.298346,0.509846
-0.149157,0.298347,0.509984
-0.149158,0.298348,0.510124
-0.149159,0.298350,0.510265
-0.149160,0.298351,0.510407
-0.149160,0.298353,0.510552
-0.149161,0.298354,0.510698
-0.149162,0.298356,0.510846
-0.149163,0.298358,0.510995
-0.149164,0.298359,0.511147
-0.149164,0.298361,0.511299
-0.149165,0.298362,0.511454
-0.149166,0.298364,0.511610
-0.149167,0.298365,0.511768
-0.149168,0.298367,0.511928
-0.149169,0.298369,0.512089
-0.149169,0.298370,0.512252
-0.149170,0.298372,0.512417
-0.149171,0.298374,0.512584
-0.149172,0.298376,0.512752
-0.149173,0.298377,0.512922
-0.149174,0.298379,0.513093
-0.149175,0.298381,0.513267
-0.149176,0.298383,0.513442
-0.149177,0.298385,0.513618
-0.149178,0.298386,0.513797
-0.149178,0.298388,0.513977
-0.149179,0.298390,0.514159
-0.149180,0.298392,0.514342
-0.149181,0.298394,0.514528
-0.149182,0.298396,0.514715
