x,y,z
-0.147082,0.299430,0.669984
-0.147082,0.299430,0.669984
-0.147082,0.299430,0.669984
-0.147082,0.299430,0.669984
-0.147082,0.299430,0.669984
-0.147082,0.299430,0.669984
-0.147083,0.299430,0.669984
-0.147083,0.299430,0.669984
-0.147083,0.299430,0.669984
-0.147083,0.299430,0.669984
-0.147083,0.299430,0.669984
-0.147083,0.299430,0.669984
-0.147083,0.299430,0.669984
-0.147084,0.299430,0.669984
-0.147084,0.299430,0.669984
-0.147084,0.299430,0.669984
-0.147085,0.299430,0.669984
-0.147085,0.299430,0.669984
-0.147086,0.299430,0.669984
-0.147086,0.299430,0.669984
-0.147087,0.299430,0.669984
-0.147088,0.299430,0.669984
-0.147089,0.299430,0.669984
-0.147090,0.299430,0.669984
-0.147091,0.299430,0.669984
-0.147092,0.299430,0.669984
-0.147093,0.299430,0.669984
-0.147094,0.299430,0.669984
-0.147095,0.299430,0.669984
-0.147097,0.299430,0.669984
-0.147098,0.299430,0.669984
-0.147100,0.299430,0.669984
-0.147101,0.299430,0.669984
-0.147103,0.299430,0.669984
-0.147105,0.299430,0.669984
-0.147107,0.299430,0.669984
-0.147109,0.299430,0.669984
-0.147112,0.299430,0.669984
-0.147114,0.299430,0.669984
-0.147117,0.299430,0.669984
-0.147119,0.299430,0.669984
-0.147122,0.299430,0.669984
-0.147125,0.299430,0.669984
-0.147128,0.299430,0.669984
-0.147131,0.299430,0.669984
-0.147135,0.299430,0.669984
-0.147138,0.299430,0.669984
-0.147142,0.299430,0.669984
-0.147146,0.299430,0.669984
-0.147150,0.299430,0.669984
-0.147154,0.299430,0.669984
-0.147158,0.299430,0.669984
-0.147163,0.299430,0.669984
-0.147167,0.299430,0.669984
-0.147172,0.299430,0.669984
-0.147177,0.299430,0.669984
-0.147182,0.299430,0.669984
-0.147187,0.299430,0.669984
-0.147193,0.299430,0.669984
-0.147199,0.299430,0.669984
-0.147205,0.299430,0.669984
-0.147211,0.299430,0.669984
-0.147217,0.299430,0.669984
-0.147223,0.299430,0.669984
-0.147230,0.299430,0.669984
-0.147237,0.299430,0.669984
-0.147244,0.299430,0.669984
-0.147251,0.299430,0.669984
-0.147259,0.299430,0.669984
-0.147267,0.299430,0.669984
-0.147274,0.299430,0.669984
-0.147283,0.299430,0.669984
-0.147291,0.299430,0.669984
-0.147300,0.299430,0.669984
-0.147308,0.299430,0.669984
-0.147317,0.299430,0.669984
-0.147327,0.299430,0.669984
-0.147336,0.299431,0.669984
-0.147346,0.299431,0.669984
-0.147356,0.299431,0.669984
-0.147366,0.299431,0.669984
-0.147377,0.299431,0.669984
-0.147387,0.299431,0.669984
-0.147398,0.299431,0.669984
-0.147409,0.299431,0.669984
-0.147421,0.299431,0.669984
-0.147433,0.299431,0.669984
-0.147445,0.299431,0.669984
-0.147457,0.299431,0.669984
-0.147469,0.299431,0.669984
-0.147482,0.299431,0.669984
-0.147495,0.299431,0.669984
-0.147509,0.299431,0.669984
-0.147522,0.299431,0.669984
-0.147536,0.299431,0.669984
-0.147550,0.299431,0.669984
-0.147565,0.299431,0.669984
-0.147579,0.299431,0.669984
-0.147594,0.299431,0.669984
-0.147610,0.299431,0.669984
-0.147625,0.299431,0.669984
-0.147641,0.299431,0.669984
-0.147657,0.299431,0.669984
-0.147674,0.299431,0.669984
-0.147690,0.299432,0.669984
-0.147707,0.299432,0.669984
-0.147725,0.299432,0.669984
-0.147742,0.299432,0.669984
-0.147760,0.299432,0.669984
-0.147779,0.299432,0.669984
-0.147797,0.299432,0.669984
-0.147816,0.299432,0.669984
-0.147835,0.299432,0.669984
-0.147855,0.299432,0.669984
-0.147875,0.299432,0.669984
-0.147895,0.299432,0.669984
-0.147915,0.299432,0.669984
-0.147936,0.299432,0.669984
-0.147957,0.299432,0.669984
-0.147979,0.299432,0.669984
-0.148001,0.299432,0.669984
-0.148023,0.299432,0.669984
-0.148045,0.299433,0.669984
-0.148068,0.299433,0.669984
-0.148091,0.299433,0.669984
-0.148115,0.299433,0.669984
-0.148139,0.299433,0.669984
-0.148163,0.299433,0.669984
-0.148187,0.299433,0.669984
-0.148212,0.299433,0.669984
-0.148238,0.299433,0.669984
-0.148263,0.299433,0.669984
-0.148289,0.299433,0.669984
-0.148315,0.299433,0.669984
-0.148342,0.299433,0.669984
-0.148369,0.299433,0.669984
-0.148397,0.299433,0.669984
-0.148424,0.299434,0.669984
-0.148452,0.299434,0.669984
-0.148481,0.299434,0.669984
-0.148510,0.299434,0.669984
-0.148539,0.299434,0.669984
-0.148569,0.299434,0.669984
-0.148599,0.299434,0.669984
-0.148629,0.299434,0.669984
-0.148660,0.299434,0.669984
-0.148691,0.299434,0.669984
-0.148722,0.299434,0.669984
-0.148754,0.299434,0.669984
-0.148787,0.299435,0.669984
-0.148819,0.299435,0.669984
-0.148852,0.299435,0.669984
-0.148886,0.299435,0.669984
-0.148920,0.299435,0.669984
-0.148954,0.299435,0.669984
-0.148989,0.299435,0.669984
-0.149024,0.299435,0.669984
-0.149059,0.299435,0.669984
-0.149095,0.299435,0.669984
-0.149131,0.299436,0.669984
-0.149168,0.299436,0.669984
-0.149205,0.299436,0.669984
-0.149242,0.299436,0.669984
-0.149280,0.299436,0.669984
-0.149319,0.299436,0.669984
-0.149357,0.299436,0.669984
-0.149396,0.299436,0.669984
-0.149436,0.299436,0.669984
-0.149476,0.299437,0.669984
-0.149516,0.299437,0.669984
-0.149557,0.299437,0.669984
-0.149598,0.299437,0.669984
-0.149640,0.299437,0.669984
-0.149682,0.299437,0.669984
-0.149724,0.299437,0.669984
-0.149767,0.299437,0.669984
-0.149810,0.299437,0.669984
-0.149854,0.299438,0.669984
-0.149898,0.299438,0.669984
-0.149943,0.299438,0.669984
-0.149988,0.299438,0.669984
-0.150033,0.299438,0.669984
-0.150079,0.299438,0.669984
-0.150126,0.299438,0.669984
-0.150172,0.299438,0.669984
-0.150220,0.299439,0.669984
-0.150267,0.299439,0.669984
-0.150315,0.299439,0.669984
-0.150364,0.299439,0.669984
-0.150413,0.299439,0.669984
-0.150462,0.299439,0.669984
-0.150512,0.299439,0.669984
-0.150563,0.299440,0.669984
-0.150613,0.299440,0.669984
-0.150665,0.299440,0.669984
-0.150716,0.299440,0.669984
-0.150769,0.299440,0.669984
-0.150821,0.299440,0.669984
-0.150874,0.299440,0.669984
-0.150928,0.299441,0.669984
-0.150982,0.299441,0.669984
-0.151036,0.299441,0.669984
-0.151091,0.299441,0.669984
-0.151146,0.299441,0.669984
-0.151202,0.299441,0.669984
-0.151258,0.299442,0.669984
-0.151315,0.299442,0.669984
-0.151372,0.299442,0.669984
-0.151430,0.299442,0.669984
-0.151488,0.299442,0.669984
-0.151547,0.299442,0.669984
-0.151606,0.299443,0.669984
-0.151665,0.299443,0.669984
-0.151725,0.299443,0.669984
-0.151786,0.299443,0.669984
-0.151847,0.299443,0.669984
-0.151908,0.299443,0.669984
-0.151970,0.299444,0.669984
-0.152032,0.299444,0.669984
-0.152095,0.299444,0.669984
-0.152159,0.299444,0.669984
-0.152222,0.299444,0.669984
-0.152287,0.299444,0.669984
-0.152351,0.299445,0.669984
-0.152417,0.299445,0.669984
-0.152482,0.299445,0.669984
-0.152549,0.299445,0.669984
-0.152615,0.299445,0.669984
-0.152683,0.299446,0.669984
-0.152750,0.299446,0.669984
-0.152818,0.299446,0.669984
-0.152887,0.299446,0.669984
-0.152956,0.299446,0.669984
-0.153026,0.299446,0.669984
-0.153096,0.299447,0.669984
-0.153166,0.299447,0.669984
-0.153238,0.299447,0.669984
-0.153309,0.299447,0.669984
-0.153381,0.299447,0.669984
-0.153454,0.299448,0.669984
-0.153527,0.299448,0.669984
-0.153600,0.299448,0.669984
-0.153674,0.299448,0.669984
-0.153749,0.299449,0.669984
-0.153824,0.299449,0.669984
-0.153900,0.299449,0.669984
-0.153976,0.299449,0.669984
-0.154052,0.299449,0.669984
-0.154129,0.299450,0.669984
-0.154207,0.299450,0.669984
-0.154285,0.299450,0.669984
-0.154363,0.299450,0.669984
-0.154442,0.299450,0.669984
-0.154522,0.299451,0.669984
-0.154602,0.299451,0.669984
-0.154682,0.299451,0.669984
-0.154763,0.299451,0.669984
-0.154845,0.299452,0.669984
-0.154927,0.299452,0.669984
-0.155010,0.299452,0.669984
-0.155093,0.299452,0.669984
-0.155176,0.299453,0.669984
-0.155260,0.299453,0.669984
-0.155345,0.299453,0.669984
-0.155430,0.299453,0.669984
-0.155516,0.299453,0.669984
-0.155602,0.299454,0.669985
-0.155688,0.299454,0.669985
-0.155776,0.299454,0.669985
-0.155863,0.299454,0.669985
-0.155951,0.299455,0.669985
-0.156040,0.299455,0.669985
-0.156129,0.299455,0.669985
-0.156219,0.299455,0.669985
-0.156309,0.299456,0.669985
-0.156400,0.299456,0.669985
-0.156491,0.299456,0.669985
-0.156583,0.299456,0.669985
-0.156675,0.299457,0.669985
-0.156768,0.299457,0.669985
-0.156861,0.299457,0.669985
-0.156955,0.299458,0.669985
-0.157049,0.299458,0.669985
-0.157144,0.299458,0.669985
-0.157239,0.299458,0.669985
-0.157335,0.299459,0.669985
-0.157432,0.299459,0.669985
-0.157529,0.299459,0.669985
-0.157626,0.299459,0.669985
-0.157724,0.299460,0.669985
-0.157822,0.299460,0.669985
-0.157921,0.299460,0.669985
-0.158021,0.299461,0.669985
-0.158121,0.299461,0.669985
-0.158221,0.299461,0.669985
-0.158322,0.299461,0.669985
-0.158424,0.299462,0.669985
-0.158526,0.299462,0.669985
-0.158629,0.299462,0.669985
-0.158732,0.299463,0.669985
-0.158835,0.299463,0.669985
-0.158940,0.299463,0.669985
-0.159044,0.299463,0.669985
-0.159149,0.299464,0.669985
-0.159255,0.299464,0.669985
-0.159361,0.299464,0.669985
-0.159468,0.299465,0.669985
-0.159575,0.299465,0.669985
-0.159683,0.299465,0.669985
-0.159791,0.299466,0.669985
-0.159900,0.299466,0.669985
-0.160010,0.299466,0.669985
-0.160120,0.299466,0.669985
-0.160230,0.299467,0.669985
-0.160341,0.299467,0.669985
-0.160452,0.299467,0.669985
-0.160564,0.299468,0.669985
-0.160677,0.299468,0.669985
-0.160790,0.299468,0.669985
-0.160903,0.299469,0.669985
-0.161017,0.299469,0.669985
-0.161132,0.299469,0.669985
-0.161247,0.299470,0.669985
-0.161363,0.299470,0.669985
-0.161479,0.299470,0.669985
-0.161595,0.299471,0.669985
-0.161712,0.299471,0.669985
-0.161830,0.299471,0.669985
-0.161948,0.299472,0.669985
-0.162067,0.299472,0.669985
-0.162186,0.299472,0.669985
-0.162306,0.299473,0.669985
-0.162426,0.299473,0.669985
-0.162547,0.299473,0.669985
-0.162668,0.299474,0.669985
-0.162790,0.299474,0.669985
-0.162913,0.299474,0.669985
-0.163036,0.299475,0.669985
-0.163159,0.299475,0.669985
