x,y,z
-0.346659,0.299867,0.669291
-0.346659,0.299867,0.669291
-0.346659,0.299867,0.669291
-0.346659,0.299867,0.669291
-0.346659,0.299867,0.669291
-0.346659,0.299867,0.669291
-0.346659,0.299867,0.669290
-0.346659,0.299867,0.669290
-0.346659,0.299867,0.669289
-0.346659,0.299867,0.669288
-0.346659,0.299867,0.669287
-0.346659,0.299867,0.669286
-0.346659,0.299867,0.669284
-0.346659,0.299867,0.669283
-0.346659,0.299867,0.669280
-0.346659,0.299867,0.669278
-0.346659,0.299867,0.669275
-0.346660,0.299867,0.669272
-0.346660,0.299867,0.669269
-0.346660,0.299867,0.669265
-0.346660,0.299867,0.669260
-0.346660,0.299867,0.669255
-0.346660,0.299867,0.669250
-0.346660,0.299867,0.669245
-0.346660,0.299867,0.669238
-0.346660,0.299867,0.669232
-0.346660,0.299867,0.669224
-0.346661,0.299867,0.669216
-0.346661,0.299867,0.669208
-0.346661,0.299867,0.669199
-0.346661,0.299867,0.669189
-0.346661,0.299867,0.669179
-0.346662,0.299867,0.669168
-0.346662,0.299867,0.669156
-0.346662,0.299867,0.669144
-0.346662,0.299867,0.669131
-0.346663,0.299867,0.669117
-0.346663,0.299867,0.669103
-0.346663,0.299867,0.669087
-0.346663,0.299867,0.669071
-0.346664,0.299867,0.669054
-0.346664,0.299867,0.669037
-0.346665,0.299867,0.669018
-0.346665,0.299867,0.668999
-0.346665,0.299867,0.668979
-0.346666,0.299867,0.668958
-0.346666,0.299867,0.668936
-0.346667,0.299867,0.668913
-0.346667,0.299867,0.668889
-0.346668,0.299867,0.668864
-0.346668,0.299867,0.668838
-0.346669,0.299867,0.668812
-0.346669,0.299867,0.668784
-0.346670,0.299868,0.668755
-0.346670,0.299868,0.668726
-0.346671,0.299868,0.668695
-0.346672,0.299868,0.668663
-0.346672,0.299868,0.668630
-0.346673,0.299868,0.668596
-0.346674,0.299868,0.668561
-0.346674,0.299868,0.668525
-0.346675,0.299868,0.668488
-0.346676,0.299868,0.668449
-0.346677,0.299868,0.668410
-0.346677,0.299868,0.668369
-0.346678,0.299868,0.668327
-0.346679,0.299868,0.668284
-0.346680,0.299868,0.668240
-0.346681,0.299868,0.668195
-0.346682,0.299868,0.668148
-0.346683,0.299868,0.668100
-0.346684,0.299868,0.668051
-0.346685,0.299868,0.668001
-0.346686,0.299868,0.667949
-0.346687,0.299868,0.667896
-0.346688,0.299868,0.667842
-0.346689,0.299868,0.667786
-0.346690,0.299868,0.667730
