x,y,z
-0.348023,0.318793,0.511174
-0.348023,0.318793,0.511174
-0.348023,0.318793,0.511174
-0.348023,0.318793,0.511174
-0.348023,0.318793,0.511174
-0.348023,0.318793,0.511174
-0.348023,0.318793,0.511174
-0.348023,0.318793,0.511174
-0.348023,0.318793,0.511174
-0.348023,0.318793,0.511174
-0.348023,0.318793,0.511174
-0.348023,0.318793,0.511174
-0.348024,0.318793,0.511174
-0.348024,0.318793,0.511174
-0.348024,0.318793,0.511174
-0.348024,0.318793,0.511174
-0.348024,0.318792,0.511173
-0.348024,0.318792,0.511173
-0.348024,0.318792,0.511173
-0.348024,0.318792,0.511173
-0.348024,0.318792,0.511173
-0.348024,0.318792,0.511173
-0.348024,0.318791,0.511173
-0.348024,0.318791,0.511173
-0.348024,0.318791,0.511172
-0.348024,0.318790,0.511172
-0.348024,0.318790,0.511172
-0.348024,0.318790,0.511172
-0.348024,0.318789,0.511172
-0.348024,0.318789,0.511171
-0.348024,0.318788,0.511171
-0.348024,0.318788,0.511171
-0.348024,0.318787,0.511170
-0.348024,0.318787,0.511170
-0.348024,0.318786,0.511170
-0.348024,0.318786,0.511169
-0.348024,0.318785,0.511169
-0.348024,0.318784,0.511169
-0.348024,0.318783,0.511168
-0.348025,0.318783,0.511168
-0.348025,0.318782,0.511167
-0.348025,0.318781,0.511167
-0.348025,0.318780,0.511166
-0.348025,0.318779,0.511166
-0.348025,0.318778,0.511165
-0.348025,0.318777,0.511164
-0.348025,0.318776,0.511164
-0.348025,0.318775,0.511163
-0.348026,0.318774,0.511162
-0.348026,0.318773,0.511162
-0.348026,0.318771,0.511161
-0.348026,0.318770,0.511160
-0.348026,0.318769,0.511159
-0.348026,0.318767,0.511159
-0.348026,0.318766,0.511158
-0.348026,0.318764,0.511157
-0.348027,0.318763,0.511156
-0.348027,0.318761,0.511155
-0.348027,0.318760,0.511154
-0.348027,0.318758,0.511153
-0.348027,0.318756,0.511152
-0.348028,0.318754,0.511151
-0.348028,0.318752,0.511150
-0.348028,0.318751,0.511149
-0.348028,0.318749,0.511147
-0.348028,0.318746,0.511146
-0.348029,0.318744,0.511145
-0.348029,0.318742,0.511144
-0.348029,0.318740,0.511142
-0.348029,0.318738,0.511141
-0.348030,0.318735,0.511139
-0.348030,0.318733,0.511138
-0.348030,0.318730,0.511137
-0.348030,0.318728,0.511135
-0.348031,0.318725,0.511133
-0.348031,0.318723,0.511132
-0.348031,0.318720,0.511130
-0.348031,0.318717,0.511129
-0.348032,0.318714,0.511127
-0.348032,0.318711,0.511125
-0.348032,0.318708,0.511123
-0.348033,0.318705,0.511121
-0.348033,0.318702,0.511120
-0.348033,0.318699,0.511118
-0.348034,0.318695,0.511116
-0.348034,0.318692,0.511114
-0.348034,0.318689,0.511112
-0.348035,0.318685,0.511110
-0.348035,0.318681,0.511107
-0.348036,0.318678,0.511105
-0.348036,0.318674,0.511103
-0.348036,0.318670,0.511101
-0.348037,0.318666,0.511098
-0.348037,0.318662,0.511096
-0.348038,0.318658,0.511094
-0.348038,0.318654,0.511091
-0.348039,0.318650,0.511089
-0.348039,0.318646,0.511086
-0.348039,0.318641,0.511084
-0.348040,0.318637,0.511081
-0.348040,0.318632,0.511078
-0.348041,0.318628,0.511076
-0.348041,0.318623,0.511073
-0.348042,0.318618,0.511070
-0.348042,0.318613,0.511067
-0.348043,0.318608,0.511064
-0.348043,0.318603,0.511061
-0.348044,0.318598,0.511058
-0.348045,0.318593,0.511055
-0.348045,0.318588,0.511052
-0.348046,0.318583,0.511049
-0.348046,0.318577,0.511045
-0.348047,0.318572,0.511042
-0.348047,0.318566,0.511039
-0.348048,0.318560,0.511035
-0.348049,0.318554,0.511032
-0.348049,0.318549,0.511028
-0.348050,0.318543,0.511025
-0.348050,0.318536,0.511021
-0.348051,0.318530,0.511018
-0.348052,0.318524,0.511014
-0.348052,0.318518,0.511010
-0.348053,0.318511,0.511006
-0.348054,0.318505,0.511002
-0.348054,0.318498,0.510999
-0.348055,0.318492,0.510995
-0.348056,0.318485,0.510990
-0.348057,0.318478,0.510986
-0.348057,0.318471,0.510982
-0.348058,0.318464,0.510978
-0.348059,0.318457,0.510974
-0.348060,0.318449,0.510969
-0.348060,0.318442,0.510965
-0.348061,0.318435,0.510961
-0.348062,0.318427,0.510956
-0.348063,0.318419,0.510952
-0.348064,0.318412,0.510947
-0.348064,0.318404,0.510942
-0.348065,0.318396,0.510938
-0.348066,0.318388,0.510933
-0.348067,0.318380,0.510928
-0.348068,0.318372,0.510923
-0.348069,0.318363,0.510918
-0.348070,0.318355,0.510913
-0.348070,0.318346,0.510908
-0.348071,0.318338,0.510903
-0.348072,0.318329,0.510898
-0.348073,0.318320,0.510893
-0.348074,0.318311,0.510887
-0.348075,0.318302,0.510882
-0.348076,0.318293,0.510877
-0.348077,0.318284,0.510871
-0.348078,0.318275,0.510866
-0.348079,0.318265,0.510860
-0.348080,0.318256,0.510854
-0.348081,0.318246,0.510849
-0.348082,0.318236,0.510843
-0.348083,0.318226,0.510837
-0.348084,0.318217,0.510831
-0.348085,0.318206,0.510825
-0.348086,0.318196,0.510819
-0.348087,0.318186,0.510813
-0.348088,0.318176,0.510807
-0.348090,0.318165,0.510801
-0.348091,0.318155,0.510794
-0.348092,0.318144,0.510788
-0.348093,0.318133,0.510782
-0.348094,0.318123,0.510775
