x,y,z
-0.346494,0.319293,0.505191
-0.346494,0.319293,0.505191
-0.346494,0.319293,0.505191
-0.346494,0.319293,0.505191
-0.346494,0.319293,0.505191
-0.346494,0.319293,0.505191
-0.346494,0.319293,0.505192
-0.346494,0.319293,0.505192
-0.346494,0.319293,0.505193
-0.346494,0.319293,0.505194
-0.346494,0.319293,0.505195
-0.346494,0.319293,0.505196
-0.346494,0.319292,0.505197
-0.346494,0.319292,0.505199
-0.346494,0.319292,0.505201
-0.346494,0.319292,0.505204
-0.346494,0.319291,0.505206
-0.346494,0.319291,0.505209
-0.346494,0.319291,0.505213
-0.346494,0.319290,0.505217
-0.346495,0.319290,0.505221
-0.346495,0.319289,0.505226
-0.346495,0.319289,0.505231
-0.346495,0.319288,0.505236
-0.346495,0.319287,0.505242
-0.346495,0.319286,0.505249
-0.346495,0.319286,0.505256
-0.346495,0.319285,0.505264
-0.346496,0.319284,0.505272
-0.346496,0.319283,0.505281
-0.346496,0.319282,0.505290
-0.346496,0.319280,0.505300
-0.346496,0.319279,0.505311
-0.346497,0.319278,0.505322
-0.346497,0.319276,0.505334
-0.346497,0.319275,0.505347
-0.346497,0.319273,0.505360
-0.346498,0.319272,0.505374
-0.346498,0.319270,0.505389
-0.346498,0.319268,0.505405
-0.346499,0.319266,0.505421
-0.346499,0.319264,0.505439
-0.346500,0.319262,0.505457
-0.346500,0.319260,0.505475
-0.346500,0.319258,0.505495
-0.346501,0.319255,0.505516
-0.346501,0.319253,0.505537
-0.346502,0.319250,0.505559
-0.346502,0.319247,0.505583
-0.346503,0.319245,0.505607
-0.346503,0.319242,0.505632
-0.346504,0.319239,0.505658
-0.346504,0.319235,0.505685
-0.346505,0.319232,0.505713
-0.346506,0.319229,0.505742
-0.346506,0.319225,0.505771
-0.346507,0.319222,0.505802
-0.346508,0.319218,0.505834
-0.346508,0.319214,0.505867
-0.346509,0.319210,0.505902
-0.346510,0.319206,0.505937
-0.346511,0.319202,0.505973
-0.346511,0.319197,0.506010
-0.346512,0.319193,0.506049
-0.346513,0.319188,0.506088
-0.346514,0.319183,0.506129
-0.346515,0.319179,0.506171
-0.346516,0.319173,0.506214
-0.346517,0.319168,0.506258
-0.346518,0.319163,0.506304
-0.346519,0.319158,0.506350
-0.346520,0.319152,0.506398
-0.346521,0.319146,0.506447
-0.346522,0.319140,0.506497
-0.346523,0.319134,0.506549
-0.346524,0.319128,0.506602
-0.346525,0.319122,0.506656
-0.346526,0.319115,0.506711
-0.346527,0.319109,0.506768
-0.346529,0.319102,0.506825
-0.346530,0.319095,0.506885
-0.346531,0.319088,0.506945
-0.346533,0.319081,0.507007
-0.346534,0.319073,0.507070
-0.346535,0.319066,0.507135
-0.346537,0.319058,0.507201
-0.346538,0.319050,0.507268
-0.346540,0.319042,0.507337
-0.346541,0.319034,0.507407
-0.346543,0.319026,0.507478
-0.346544,0.319017,0.507551
-0.346546,0.319008,0.507625
-0.346547,0.318999,0.507701
-0.346549,0.318990,0.507778
-0.346551,0.318981,0.507856
-0.346552,0.318972,0.507936
-0.346554,0.318962,0.508018
-0.346556,0.318953,0.508100
-0.346558,0.318943,0.508185
-0.346559,0.318933,0.508271
-0.346561,0.318923,0.508358
-0.346563,0.318912,0.508447
-0.346565,0.318902,0.508537
-0.346567,0.318891,0.508629
-0.346569,0.318880,0.508722
-0.346571,0.318869,0.508817
-0.346573,0.318858,0.508913
-0.346575,0.318846,0.509011
-0.346577,0.318834,0.509110
-0.346579,0.318823,0.509211
-0.346582,0.318811,0.509314
-0.346584,0.318798,0.509418
-0.346586,0.318786,0.509523
-0.346588,0.318774,0.509631
-0.346591,0.318761,0.509739
-0.346593,0.318748,0.509850
-0.346595,0.318735,0.509962
-0.346598,0.318722,0.510075
-0.346600,0.318708,0.510190
-0.346603,0.318694,0.510307
-0.346605,0.318681,0.510425
-0.346608,0.318667,0.510545
-0.346610,0.318652,0.510666
-0.346613,0.318638,0.510790
-0.346616,0.318623,0.510914
-0.346618,0.318608,0.511041
-0.346621,0.318593,0.511169
-0.346624,0.318578,0.511298
-0.346627,0.318563,0.511429
-0.346629,0.318547,0.511562
-0.346632,0.318532,0.511697
-0.346635,0.318516,0.511833
-0.346638,0.318500,0.511971
-0.346641,0.318483,0.512110
-0.346644,0.318467,0.512251
-0.346647,0.318450,0.512394
-0.346650,0.318433,0.512539
-0.346653,0.318416,0.512685
-0.346656,0.318399,0.512833
-0.346660,0.318381,0.512982
-0.346663,0.318364,0.513133
-0.346666,0.318346,0.513286
-0.346669,0.318328,0.513440
-0.346673,0.318309,0.513597
-0.346676,0.318291,0.513754
-0.346679,0.318272,0.513914
-0.346683,0.318253,0.514075
-0.346686,0.318234,0.514238
-0.346690,0.318215,0.514402
-0.346693,0.318195,0.514569
-0.346697,0.318176,0.514737
-0.346701,0.318156,0.514906
-0.346704,0.318136,0.515078
-0.346708,0.318116,0.515251
-0.346712,0.318095,0.515425
-0.346715,0.318075,0.515602
-0.346719,0.318054,0.515780
-0.346723,0.318033,0.515959
-0.346727,0.318011,0.516141
-0.346731,0.317990,0.516324
-0.346735,0.317968,0.516509
-0.346739,0.317947,0.516695
-0.346743,0.317924,0.516884
-0.346747,0.317902,0.517073
-0.346751,0.317880,0.517265
-0.346755,0.317857,0.517458
-0.346759,0.317834,0.517653
-0.346763,0.317811,0.517850
-0.346767,0.317788,0.518048
-0.346772,0.317765,0.518248
-0.346776,0.317741,0.518450
-0.346780,0.317717,0.518653
-0.346785,0.317693,0.518858
-0.346789,0.317669,0.519065
-0.346793,0.317645,0.519274
-0.346798,0.317620,0.519484
-0.346802,0.317595,0.519696
-0.346807,0.317570,0.519909
-0.346812,0.317545,0.520124
-0.346816,0.317520,0.520341
-0.346821,0.317494,0.520560
-0.346826,0.317468,0.520780
-0.346830,0.317442,0.521002
-0.346835,0.317416,0.521225
-0.346840,0.317390,0.521450
-0.346845,0.317363,0.521677
-0.346849,0.317337,0.521905
-0.346854,0.317310,0.522136
-0.346859,0.317283,0.522367
-0.346864,0.317255,0.522601
-0.346869,0.317228,0.522836
-0.346874,0.317200,0.523072
-0.346879,0.317172,0.523311
-0.346884,0.317144,0.523551
-0.346890,0.317116,0.523792
-0.346895,0.317087,0.524036
-0.346900,0.317059,0.524280
-0.346905,0.317030,0.524527
-0.346911,0.317001,0.524775
-0.346916,0.316971,0.525025
-0.346921,0.316942,0.525276
-0.346927,0.316912,0.525529
-0.346932,0.316883,0.525783
-0.346937,0.316853,0.526039
-0.346943,0.316822,0.526297
-0.346948,0.316792,0.526556
-0.346954,0.316762,0.526817
-0.346960,0.316731,0.527080
-0.346965,0.316700,0.527344
-0.346971,0.316669,0.527609
-0.346976,0.316638,0.527877
-0.346982,0.316606,0.528145
-0.346988,0.316574,0.528415
-0.346994,0.316543,0.528687
-0.347000,0.316511,0.528961
-0.347005,0.316478,0.529236
-0.347011,0.316446,0.529512
-0.347017,0.316414,0.529790
-0.347023,0.316381,0.530069
-0.347029,0.316348,0.530350
-0.347035,0.316315,0.530633
-0.347041,0.316282,0.530917
-0.347047,0.316248,0.531202
-0.347053,0.316215,0.531489
-0.347059,0.316181,0.531778
-0.347066,0.316147,0.532068
-0.347072,0.316113,0.532359
-0.347078,0.316079,0.532652
-0.347084,0.316044,0.532947
-0.347091,0.316009,0.533243
-0.347097,0.315975,0.533540
-0.347103,0.315940,0.533839
-0.347110,0.315904,0.534139
-0.347116,0.315869,0.534440
-0.347123,0.315834,0.534744
-0.347129,0.315798,0.535048
-0.347136,0.315762,0.535354
-0.347142,0.315726,0.535661
-0.347149,0.315690,0.535970
-0.347155,0.315654,0.536280
-0.347162,0.315617,0.536591
-0.347169,0.315581,0.536904
-0.347175,0.315544,0.537218
-0.347182,0.315507,0.537534
-0.347189,0.315470,0.537851
-0.347195,0.315433,0.538169
-0.347202,0.315395,0.538489
-0.347209,0.315358,0.538810
-0.347216,0.315320,0.539132
-0.347223,0.315282,0.539456
-0.347230,0.315244,0.539780
-0.347237,0.315206,0.540107
-0.347244,0.315168,0.540434
-0.347251,0.315129,0.540763
-0.347258,0.315090,0.541093
-0.347265,0.315052,0.541424
-0.347272,0.315013,0.541757
-0.347279,0.314974,0.542091
-0.347286,0.314934,0.542426
-0.347293,0.314895,0.542762
-0.347300,0.314855,0.543100
-0.347308,0.314816,0.543439
-0.347315,0.314776,0.543779
-0.347322,0.314736,0.544120
-0.347329,0.314696,0.544462
-0.347337,0.314656,0.544806
-0.347344,0.314615,0.545150
-0.347351,0.314575,0.545496
-0.347359,0.314534,0.545843
-0.347366,0.314494,0.546192
-0.347374,0.314453,0.546541
-0.347381,0.314412,0.546892
-0.347388,0.314370,0.547243
-0.347396,0.314329,0.547596
-0.347404,0.314288,0.547950
-0.347411,0.314246,0.548305
-0.347419,0.314204,0.548661
-0.347426,0.314163,0.549018
-0.347434,0.314121,0.549376
-0.347442,0.314079,0.549735
-0.347449,0.314037,0.550096
-0.347457,0.313994,0.550457
-0.347465,0.313952,0.550819
-0.347472,0.313909,0.551183
-0.347480,0.313867,0.551547
-0.347488,0.313824,0.551913
-0.347496,0.313781,0.552279
-0.347503,0.313738,0.552647
-0.347511,0.313695,0.553015
-0.347519,0.313652,0.553384
-0.347527,0.313608,0.553755
-0.347535,0.313565,0.554126
-0.347543,0.313521,0.554498
-0.347551,0.313477,0.554871
-0.347559,0.313434,0.555245
-0.347567,0.313390,0.555620
-0.347575,0.313346,0.555996
-0.347583,0.313302,0.556373
-0.347591,0.313258,0.556750
-0.347599,0.313213,0.557129
-0.347607,0.313169,0.557508
-0.347615,0.313124,0.557888
-0.347623,0.313080,0.558269
-0.347631,0.313035,0.558651
-0.347639,0.312990,0.559033
-0.347647,0.312945,0.559417
-0.347656,0.312900,0.559801
-0.347664,0.312855,0.560186
-0.347672,0.312810,0.560572
-0.347680,0.312765,0.560958
-0.347689,0.312720,0.561346
-0.347697,0.312674,0.561734
-0.347705,0.312629,0.562122
-0.347713,0.312583,0.562512
-0.347722,0.312537,0.562902
-0.347730,0.312492,0.563293
-0.347738,0.312446,0.563684
-0.347747,0.312400,0.564077
-0.347755,0.312354,0.564469
-0.347763,0.312308,0.564863
-0.347772,0.312262,0.565257
-0.347780,0.312215,0.565652
-0.347789,0.312169,0.566047
-0.347797,0.312123,0.566443
-0.347805,0.312076,0.566840
-0.347814,0.312030,0.567237
-0.347822,0.311983,0.567635
-0.347831,0.311937,0.568033
-0.347839,0.311890,0.568432
-0.347848,0.311843,0.568832
-0.347856,0.311796,0.569232
-0.347865,0.311749,0.569632
-0.347873,0.311703,0.570033
-0.347882,0.311656,0.570435
-0.347890,0.311608,0.570837
-0.347899,0.311561,0.571239
-0.347908,0.311514,0.571642
-0.347916,0.311467,0.572045
-0.347925,0.311420,0.572449
-0.347933,0.311372,0.572854
-0.347942,0.311325,0.573258
-0.347951,0.311278,0.573663
-0.347959,0.311230,0.574069
-0.347968,0.311183,0.574475
-0.347976,0.311135,0.574881
-0.347985,0.311087,0.575287
-0.347994,0.311040,0.575694
-0.348002,0.310992,0.576102
-0.348011,0.310944,0.576509
-0.348020,0.310897,0.576917
