x,y,z
-0.101299,-0.088517,0.848910
-0.101299,-0.088517,0.848910
-0.101299,-0.088517,0.848910
-0.101299,-0.088517,0.848910
-0.101299,-0.088517,0.848910
-0.101299,-0.088517,0.848910
-0.101299,-0.088517,0.848909
-0.101298,-0.088516,0.848909
-0.101298,-0.088515,0.848909
-0.101298,-0.088515,0.848908
-0.101297,-0.088514,0.848908
-0.101296,-0.088512,0.848907
-0.101295,-0.088511,0.848907
-0.101294,-0.088509,0.848906
-0.101293,-0.088507,0.848905
-0.101291,-0.088505,0.848904
-0.101289,-0.088502,0.848903
-0.101287,-0.088499,0.848901
-0.101285,-0.088495,0.848900
-0.101283,-0.088491,0.848898
-0.101280,-0.088487,0.848896
-0.101277,-0.088482,0.848894
-0.101273,-0.088477,0.848891
-0.101270,-0.088472,0.848889
-0.101266,-0.088466,0.848886
-0.101262,-0.088459,0.848883
-0.101257,-0.088452,0.848880
-0.101252,-0.088444,0.848876
-0.101246,-0.088436,0.848872
-0.101241,-0.088427,0.848868
-0.101234,-0.088417,0.848864
-0.101228,-0.088407,0.848859
-0.101221,-0.088396,0.848854
-0.101213,-0.088385,0.848849
-0.101206,-0.088372,0.848843
-0.101197,-0.088359,0.848837
-0.101188,-0.088346,0.848831
-0.101179,-0.088331,0.848824
-0.101169,-0.088316,0.848817
-0.101159,-0.088300,0.848810
-0.101148,-0.088283,0.848802
-0.101137,-0.088266,0.848794
-0.101125,-0.088247,0.848785
-0.101112,-0.088228,0.848777
-0.101099,-0.088208,0.848767
-0.101085,-0.088187,0.848758
-0.101071,-0.088165,0.848747
-0.101056,-0.088142,0.848737
-0.101041,-0.088118,0.848726
-0.101025,-0.088093,0.848714
-0.101008,-0.088067,0.848703
-0.100991,-0.088041,0.848690
-0.100973,-0.088013,0.848677
-0.100954,-0.087984,0.848664
-0.100935,-0.087954,0.848650
-0.100915,-0.087923,0.848636
-0.100894,-0.087891,0.848621
-0.100873,-0.087858,0.848606
-0.100851,-0.087824,0.848590
-0.100828,-0.087788,0.848574
-0.100804,-0.087752,0.848557
-0.100780,-0.087714,0.848540
-0.100755,-0.087675,0.848522
-0.100729,-0.087635,0.848504
-0.100702,-0.087594,0.848485
-0.100675,-0.087552,0.848465
-0.100646,-0.087508,0.848445
-0.100617,-0.087463,0.848424
-0.100588,-0.087417,0.848403
-0.100557,-0.087369,0.848381
-0.100525,-0.087321,0.848359
-0.100493,-0.087271,0.848336
-0.100460,-0.087219,0.848312
-0.100426,-0.087167,0.848288
-0.100391,-0.087113,0.848263
-0.100355,-0.087057,0.848237
-0.100318,-0.087000,0.848211
-0.100280,-0.086942,0.848184
-0.100242,-0.086883,0.848157
-0.100202,-0.086822,0.848129
-0.100162,-0.086759,0.848100
-0.100121,-0.086695,0.848071
-0.100079,-0.086630,0.848041
-0.100035,-0.086563,0.848010
-0.099991,-0.086495,0.847978
-0.099946,-0.086425,0.847946
-0.099900,-0.086354,0.847914
-0.099853,-0.086281,0.847880
-0.099805,-0.086207,0.847846
-0.099756,-0.086131,0.847811
-0.099706,-0.086054,0.847775
-0.099655,-0.085975,0.847739
-0.099603,-0.085894,0.847702
-0.099549,-0.085812,0.847664
-0.099495,-0.085728,0.847625
-0.099440,-0.085643,0.847586
-0.099384,-0.085556,0.847546
-0.099327,-0.085467,0.847505
-0.099268,-0.085377,0.847464
-0.099209,-0.085285,0.847421
-0.099148,-0.085192,0.847378
-0.099087,-0.085096,0.847334
-0.099024,-0.084999,0.847290
-0.098960,-0.084901,0.847244
-0.098895,-0.084800,0.847198
-0.098829,-0.084698,0.847151
-0.098762,-0.084595,0.847103
-0.098694,-0.084489,0.847055
-0.098624,-0.084382,0.847005
-0.098554,-0.084273,0.846955
-0.098482,-0.084162,0.846904
-0.098409,-0.084049,0.846852
-0.098335,-0.083935,0.846800
-0.098260,-0.083819,0.846746
-0.098184,-0.083701,0.846692
-0.098106,-0.083581,0.846637
-0.098028,-0.083459,0.846581
-0.097948,-0.083336,0.846524
-0.097867,-0.083210,0.846466
-0.097784,-0.083083,0.846407
-0.097701,-0.082954,0.846348
-0.097616,-0.082823,0.846288
-0.097530,-0.082690,0.846227
-0.097443,-0.082556,0.846164
-0.097355,-0.082419,0.846102
-0.097265,-0.082281,0.846038
-0.097175,-0.082140,0.845973
-0.097083,-0.081998,0.845908
-0.096989,-0.081854,0.845841
-0.096895,-0.081708,0.845774
-0.096799,-0.081560,0.845706
-0.096702,-0.081409,0.845637
-0.096603,-0.081257,0.845567
-0.096504,-0.081103,0.845496
-0.096403,-0.080947,0.845424
-0.096301,-0.080790,0.845351
-0.096197,-0.080630,0.845277
-0.096093,-0.080468,0.845203
-0.095987,-0.080304,0.845127
-0.095879,-0.080138,0.845051
-0.095771,-0.079970,0.844974
-0.095661,-0.079800,0.844895
-0.095549,-0.079628,0.844816
-0.095437,-0.079454,0.844736
-0.095323,-0.079278,0.844655
-0.095208,-0.079100,0.844573
-0.095091,-0.078919,0.844490
-0.094973,-0.078737,0.844406
-0.094854,-0.078553,0.844321
-0.094734,-0.078367,0.844235
-0.094612,-0.078178,0.844149
-0.094489,-0.077988,0.844061
-0.094364,-0.077795,0.843972
-0.094238,-0.077600,0.843883
-0.094111,-0.077404,0.843792
-0.093982,-0.077205,0.843700
-0.093852,-0.077004,0.843608
-0.093721,-0.076801,0.843514
-0.093588,-0.076595,0.843420
-0.093454,-0.076388,0.843324
-0.093318,-0.076179,0.843228
-0.093181,-0.075967,0.843130
-0.093043,-0.075753,0.843032
-0.092904,-0.075537,0.842933
-0.092763,-0.075319,0.842832
-0.092620,-0.075099,0.842731
-0.092476,-0.074877,0.842628
-0.092331,-0.074652,0.842525
-0.092185,-0.074426,0.842421
-0.092037,-0.074197,0.842315
-0.091887,-0.073966,0.842209
-0.091736,-0.073733,0.842102
-0.091584,-0.073497,0.841993
-0.091431,-0.073260,0.841884
-0.091276,-0.073020,0.841773
-0.091119,-0.072778,0.841662
-0.090961,-0.072534,0.841550
-0.090802,-0.072288,0.841436
-0.090641,-0.072040,0.841322
-0.090479,-0.071789,0.841206
-0.090316,-0.071536,0.841090
-0.090151,-0.071281,0.840973
-0.089984,-0.071024,0.840854
-0.089817,-0.070765,0.840735
-0.089647,-0.070503,0.840614
-0.089477,-0.070239,0.840493
-0.089305,-0.069973,0.840370
-0.089131,-0.069705,0.840247
-0.088956,-0.069434,0.840122
-0.088780,-0.069161,0.839996
-0.088602,-0.068887,0.839870
-0.088422,-0.068609,0.839742
-0.088242,-0.068330,0.839614
-0.088060,-0.068048,0.839484
-0.087876,-0.067764,0.839353
-0.087691,-0.067478,0.839221
-0.087504,-0.067190,0.839089
-0.087317,-0.066899,0.838955
-0.087127,-0.066607,0.838820
-0.086936,-0.066312,0.838684
-0.086744,-0.066014,0.838547
-0.086550,-0.065715,0.838409
-0.086355,-0.065413,0.838270
-0.086159,-0.065109,0.838130
-0.085960,-0.064803,0.837989
-0.085761,-0.064495,0.837847
-0.085560,-0.064184,0.837704
-0.085358,-0.063871,0.837560
-0.085154,-0.063556,0.837415
-0.084948,-0.063238,0.837269
-0.084742,-0.062919,0.837122
-0.084533,-0.062597,0.836973
-0.084324,-0.062273,0.836824
-0.084113,-0.061946,0.836674
-0.083900,-0.061617,0.836523
-0.083686,-0.061287,0.836370
-0.083471,-0.060953,0.836217
-0.083254,-0.060618,0.836062
-0.083035,-0.060280,0.835907
-0.082815,-0.059941,0.835750
-0.082594,-0.059599,0.835593
-0.082371,-0.059254,0.835434
-0.082147,-0.058908,0.835275
-0.081922,-0.058559,0.835114
-0.081695,-0.058208,0.834952
-0.081466,-0.057854,0.834790
-0.081236,-0.057499,0.834626
-0.081005,-0.057141,0.834461
-0.080772,-0.056781,0.834295
-0.080538,-0.056419,0.834129
-0.080302,-0.056055,0.833961
-0.080065,-0.055688,0.833792
-0.079826,-0.055319,0.833622
-0.079586,-0.054948,0.833451
-0.079344,-0.054574,0.833279
-0.079102,-0.054199,0.833106
-0.078857,-0.053821,0.832932
-0.078611,-0.053441,0.832757
-0.078364,-0.053059,0.832581
-0.078115,-0.052674,0.832404
-0.077865,-0.052288,0.832226
-0.077614,-0.051899,0.832047
-0.077361,-0.051508,0.831867
-0.077106,-0.051114,0.831686
-0.076851,-0.050719,0.831504
-0.076593,-0.050321,0.831321
-0.076335,-0.049921,0.831136
-0.076075,-0.049519,0.830951
-0.075813,-0.049115,0.830765
-0.075550,-0.048708,0.830578
-0.075286,-0.048300,0.830390
-0.075020,-0.047889,0.830201
-0.074753,-0.047476,0.830010
-0.074484,-0.047061,0.829819
-0.074214,-0.046643,0.829627
-0.073943,-0.046224,0.829434
-0.073670,-0.045802,0.829240
-0.073396,-0.045378,0.829044
-0.073121,-0.044952,0.828848
-0.072844,-0.044524,0.828651
-0.072565,-0.044093,0.828453
-0.072285,-0.043661,0.828254
-0.072004,-0.043226,0.828053
-0.071722,-0.042789,0.827852
-0.071438,-0.042350,0.827650
-0.071152,-0.041909,0.827447
-0.070866,-0.041466,0.827243
-0.070578,-0.041021,0.827038
-0.070288,-0.040573,0.826832
-0.069997,-0.040123,0.826625
-0.069705,-0.039672,0.826417
-0.069412,-0.039218,0.826208
-0.069117,-0.038762,0.825998
-0.068820,-0.038304,0.825787
-0.068523,-0.037844,0.825575
-0.068224,-0.037381,0.825362
-0.067923,-0.036917,0.825148
-0.067622,-0.036451,0.824933
-0.067319,-0.035982,0.824718
-0.067014,-0.035511,0.824501
-0.066709,-0.035039,0.824283
-0.066401,-0.034564,0.824065
-0.066093,-0.034087,0.823845
-0.065783,-0.033608,0.823625
-0.065472,-0.033127,0.823403
-0.065160,-0.032644,0.823181
-0.064846,-0.032159,0.822957
-0.064531,-0.031672,0.822733
-0.064215,-0.031183,0.822508
-0.063897,-0.030692,0.822282
-0.063578,-0.030199,0.822055
-0.063258,-0.029704,0.821827
-0.062936,-0.029207,0.821598
-0.062613,-0.028708,0.821368
-0.062289,-0.028207,0.821137
-0.061964,-0.027703,0.820905
-0.061637,-0.027198,0.820673
-0.061309,-0.026691,0.820439
-0.060980,-0.026182,0.820205
-0.060649,-0.025671,0.819969
-0.060317,-0.025158,0.819733
-0.059984,-0.024643,0.819496
-0.059650,-0.024126,0.819258
-0.059314,-0.023607,0.819019
-0.058977,-0.023086,0.818779
-0.058639,-0.022564,0.818538
-0.058300,-0.022039,0.818297
-0.057959,-0.021512,0.818054
-0.057617,-0.020984,0.817811
-0.057274,-0.020453,0.817567
-0.056930,-0.019921,0.817322
-0.056585,-0.019387,0.817076
-0.056238,-0.018851,0.816829
-0.055890,-0.018313,0.816581
-0.055541,-0.017773,0.816332
