x,y,z
0.149638,0.300780,0.669443
0.149638,0.300780,0.669443
0.149638,0.300780,0.669443
0.149638,0.300780,0.669443
0.149638,0.300780,0.669443
0.149638,0.300780,0.669443
0.149638,0.300780,0.669443
0.149638,0.300780,0.669442
0.149638,0.300780,0.669441
0.149638,0.300780,0.669441
0.149638,0.300780,0.669440
0.149638,0.300780,0.669438
0.149638,0.300780,0.669437
0.149638,0.300780,0.669435
0.149638,0.300780,0.669433
0.149638,0.300780,0.669430
0.149638,0.300780,0.669428
0.149638,0.300780,0.669424
0.149638,0.300780,0.669421
0.149638,0.300780,0.669417
0.149638,0.300780,0.669413
0.149638,0.300780,0.669408
0.149638,0.300780,0.669403
0.149639,0.300780,0.669397
0.149639,0.300780,0.669391
0.149639,0.300780,0.669384
0.149639,0.300780,0.669377
0.149639,0.300780,0.669369
0.149639,0.300780,0.669360
0.149639,0.300780,0.669351
0.149639,0.300780,0.669341
0.149639,0.300780,0.669331
0.149639,0.300780,0.669320
0.149639,0.300780,0.669309
0.149639,0.300780,0.669296
0.149639,0.300780,0.669283
0.149639,0.300780,0.669269
0.149639,0.300779,0.669255
0.149639,0.300779,0.669240
0.149639,0.300779,0.669223
0.149639,0.300779,0.669207
0.149639,0.300779,0.669189
0.149639,0.300779,0.669170
0.149639,0.300779,0.669151
0.149639,0.300779,0.669131
0.149639,0.300779,0.669110
0.149639,0.300779,0.669088
0.149639,0.300779,0.669065
0.149639,0.300778,0.669041
0.149639,0.300778,0.669016
0.149639,0.300778,0.668990
0.149639,0.300778,0.668964
0.149639,0.300778,0.668936
0.149640,0.300778,0.668907
0.149640,0.300778,0.668877
0.149640,0.300778,0.668847
0.149640,0.300777,0.668815
0.149640,0.300777,0.668782
0.149640,0.300777,0.668748
0.149640,0.300777,0.668713
0.149640,0.300777,0.668677
0.149640,0.300777,0.668639
0.149640,0.300776,0.668601
0.149640,0.300776,0.668561
0.149640,0.300776,0.668521
0.149640,0.300776,0.668479
0.149641,0.300776,0.668436
0.149641,0.300776,0.668392
0.149641,0.300775,0.668346
0.149641,0.300775,0.668299
0.149641,0.300775,0.668252
0.149641,0.300775,0.668202
0.149641,0.300774,0.668152
0.149641,0.300774,0.668100
0.149641,0.300774,0.668047
0.149642,0.300774,0.667993
0.149642,0.300773,0.667937
0.149642,0.300773,0.667881
0.149642,0.300773,0.667822
0.149642,0.300773,0.667763
0.149642,0.300772,0.667702
0.149642,0.300772,0.667640
