x,y,z
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149776,0.298063,0.501660
0.149777,0.298063,0.501660
0.149777,0.298063,0.501660
0.149777,0.298063,0.501660
0.149777,0.298063,0.501660
0.149777,0.298063,0.501660
0.149777,0.298064,0.501659
0.149777,0.298064,0.501659
0.149777,0.298064,0.501659
0.149777,0.298064,0.501659
0.149777,0.298064,0.501659
0.149777,0.298064,0.501659
0.149777,0.298064,0.501659
0.149777,0.298064,0.501659
0.149777,0.298065,0.501659
0.149777,0.298065,0.501658
0.149777,0.298065,0.501658
0.149777,0.298065,0.501658
0.149777,0.298065,0.501658
0.149777,0.298065,0.501658
0.149777,0.298066,0.501658
0.149777,0.298066,0.501657
0.149777,0.298066,0.501657
0.149777,0.298066,0.501657
0.149777,0.298066,0.501657
0.149777,0.298067,0.501657
0.149777,0.298067,0.501656
0.149777,0.298067,0.501656
0.149777,0.298068,0.501656
0.149777,0.298068,0.501656
0.149777,0.298068,0.501655
0.149777,0.298068,0.501655
0.149777,0.298069,0.501655
0.149777,0.298069,0.501655
0.149777,0.298069,0.501654
0.149777,0.298070,0.501654
0.149777,0.298070,0.501654
0.149777,0.298071,0.501653
0.149777,0.298071,0.501653
0.149777,0.298071,0.501653
0.149778,0.298072,0.501652
0.149778,0.298072,0.501652
0.149778,0.298073,0.501652
0.149778,0.298073,0.501651
0.149778,0.298074,0.501651
0.149778,0.298074,0.501650
0.149778,0.298075,0.501650
0.149778,0.298075,0.501649
0.149778,0.298076,0.501649
0.149778,0.298076,0.501648
0.149778,0.298077,0.501648
0.149778,0.298077,0.501648
0.149778,0.298078,0.501647
0.149778,0.298079,0.501646
0.149778,0.298079,0.501646
0.149778,0.298080,0.501645
0.149779,0.298081,0.501645
0.149779,0.298081,0.501644
0.149779,0.298082,0.501644
