x,y,z
0.149026,0.299295,0.501262
0.149026,0.299295,0.501262
0.149026,0.299295,0.501262
0.149026,0.299295,0.501262
0.149026,0.299295,0.501262
0.149026,0.299295,0.501263
0.149026,0.299295,0.501263
0.149026,0.299295,0.501264
0.149026,0.299295,0.501264
0.149026,0.299295,0.501265
0.149026,0.299295,0.501266
0.149026,0.299295,0.501267
0.149026,0.299295,0.501269
0.149026,0.299295,0.501271
0.149026,0.299295,0.501273
0.149026,0.299295,0.501275
0.149026,0.299295,0.501278
0.149026,0.299295,0.501281
0.149026,0.299295,0.501285
0.149026,0.299295,0.501289
0.149026,0.299295,0.501293
0.149026,0.299296,0.501298
0.149026,0.299296,0.501303
0.149026,0.299296,0.501309
0.149026,0.299296,0.501315
0.149026,0.299296,0.501322
0.149026,0.299296,0.501329
0.149026,0.299296,0.501337
0.149026,0.299296,0.501345
0.149026,0.299296,0.501354
0.149027,0.299296,0.501364
0.149027,0.299296,0.501374
0.149027,0.299296,0.501385
0.149027,0.299296,0.501397
0.149027,0.299296,0.501409
0.149027,0.299296,0.501422
0.149027,0.299296,0.501436
0.149027,0.299296,0.501450
0.149027,0.299296,0.501465
0.149027,0.299296,0.501481
0.149027,0.299296,0.501498
0.149027,0.299296,0.501516
0.149028,0.299296,0.501534
0.149028,0.299297,0.501553
0.149028,0.299297,0.501574
0.149028,0.299297,0.501595
0.149028,0.299297,0.501617
0.149028,0.299297,0.501639
0.149028,0.299297,0.501663
0.149028,0.299297,0.501688
0.149029,0.299297,0.501714
0.149029,0.299297,0.501740
0.149029,0.299297,0.501768
0.149029,0.299298,0.501796
0.149029,0.299298,0.501826
0.149029,0.299298,0.501857
0.149030,0.299298,0.501888
0.149030,0.299298,0.501921
0.149030,0.299298,0.501955
0.149030,0.299298,0.501990
0.149030,0.299299,0.502026
0.149031,0.299299,0.502063
0.149031,0.299299,0.502101
0.149031,0.299299,0.502141
0.149031,0.299299,0.502181
0.149032,0.299299,0.502223
0.149032,0.299300,0.502266
0.149032,0.299300,0.502310
0.149032,0.299300,0.502355
0.149033,0.299300,0.502401
0.149033,0.299300,0.502449
0.149033,0.299301,0.502498
0.149033,0.299301,0.502548
0.149034,0.299301,0.502600
0.149034,0.299301,0.502653
0.149034,0.299301,0.502707
0.149035,0.299302,0.502762
0.149035,0.299302,0.502819
0.149035,0.299302,0.502876
0.149036,0.299302,0.502936
0.149036,0.299303,0.502996
0.149036,0.299303,0.503058
0.149037,0.299303,0.503122
0.149037,0.299303,0.503186
0.149037,0.299304,0.503252
0.149038,0.299304,0.503320
0.149038,0.299304,0.503389
0.149039,0.299305,0.503459
0.149039,0.299305,0.503531
0.149039,0.299305,0.503604
0.149040,0.299305,0.503678
0.149040,0.299306,0.503754
0.149041,0.299306,0.503832
0.149041,0.299306,0.503911
0.149042,0.299307,0.503991
0.149042,0.299307,0.504073
0.149043,0.299307,0.504156
0.149043,0.299308,0.504241
0.149044,0.299308,0.504327
0.149044,0.299309,0.504415
0.149045,0.299309,0.504505
0.149045,0.299309,0.504596
0.149046,0.299310,0.504688
0.149046,0.299310,0.504782
0.149047,0.299310,0.504877
0.149047,0.299311,0.504974
0.149048,0.299311,0.505073
0.149049,0.299312,0.505173
0.149049,0.299312,0.505275
0.149050,0.299313,0.505378
0.149050,0.299313,0.505483
0.149051,0.299313,0.505590
0.149052,0.299314,0.505698
0.149052,0.299314,0.505808
0.149053,0.299315,0.505919
0.149053,0.299315,0.506032
0.149054,0.299316,0.506147
0.149055,0.299316,0.506263
0.149056,0.299317,0.506381
0.149056,0.299317,0.506500
0.149057,0.299318,0.506621
0.149058,0.299318,0.506744
0.149058,0.299319,0.506868
0.149059,0.299319,0.506994
0.149060,0.299320,0.507122
0.149061,0.299320,0.507251
0.149061,0.299321,0.507382
0.149062,0.299321,0.507515
0.149063,0.299322,0.507649
0.149064,0.299323,0.507786
0.149064,0.299323,0.507923
0.149065,0.299324,0.508063
0.149066,0.299324,0.508204
0.149067,0.299325,0.508347
0.149068,0.299326,0.508491
0.149069,0.299326,0.508637
0.149069,0.299327,0.508785
0.149070,0.299327,0.508935
0.149071,0.299328,0.509086
0.149072,0.299329,0.509239
0.149073,0.299329,0.509394
0.149074,0.299330,0.509550
0.149075,0.299331,0.509708
0.149076,0.299331,0.509868
0.149077,0.299332,0.510030
0.149078,0.299333,0.510193
0.149078,0.299333,0.510358
0.149079,0.299334,0.510525
0.149080,0.299335,0.510693
0.149081,0.299335,0.510864
0.149082,0.299336,0.511035
0.149083,0.299337,0.511209
0.149084,0.299338,0.511385
0.149085,0.299338,0.511562
0.149086,0.299339,0.511740
0.149087,0.299340,0.511921
0.149089,0.299341,0.512103
0.149090,0.299341,0.512287
0.149091,0.299342,0.512473
0.149092,0.299343,0.512661
0.149093,0.299344,0.512850
0.149094,0.299345,0.513041
0.149095,0.299345,0.513234
0.149096,0.299346,0.513428
0.149097,0.299347,0.513624
0.149098,0.299348,0.513822
0.149100,0.299349,0.514022
0.149101,0.299349,0.514223
0.149102,0.299350,0.514426
0.149103,0.299351,0.514631
0.149104,0.299352,0.514837
0.149106,0.299353,0.515046
0.149107,0.299354,0.515256
0.149108,0.299355,0.515467
0.149109,0.299356,0.515681
0.149110,0.299356,0.515896
0.149112,0.299357,0.516113
0.149113,0.299358,0.516331
0.149114,0.299359,0.516552
0.149116,0.299360,0.516774
0.149117,0.299361,0.516997
0.149118,0.299362,0.517223
0.149119,0.299363,0.517450
0.149121,0.299364,0.517679
0.149122,0.299365,0.517909
0.149123,0.299366,0.518141
0.149125,0.299367,0.518375
0.149126,0.299368,0.518611
0.149127,0.299369,0.518848
0.149129,0.299370,0.519087
0.149130,0.299371,0.519328
0.149132,0.299372,0.519570
0.149133,0.299373,0.519814
0.149134,0.299374,0.520060
0.149136,0.299375,0.520307
0.149137,0.299376,0.520556
0.149139,0.299377,0.520807
0.149140,0.299378,0.521059
0.149142,0.299379,0.521313
0.149143,0.299380,0.521569
0.149145,0.299381,0.521826
0.149146,0.299382,0.522085
0.149148,0.299383,0.522346
0.149149,0.299384,0.522608
0.149151,0.299386,0.522872
0.149152,0.299387,0.523137
0.149154,0.299388,0.523404
0.149155,0.299389,0.523673
0.149157,0.299390,0.523943
0.149158,0.299391,0.524215
0.149160,0.299392,0.524489
0.149162,0.299393,0.524764
0.149163,0.299395,0.525040
0.149165,0.299396,0.525319
0.149166,0.299397,0.525599
0.149168,0.299398,0.525880
0.149170,0.299399,0.526163
0.149171,0.299401,0.526448
0.149173,0.299402,0.526734
0.149175,0.299403,0.527021
0.149176,0.299404,0.527311
0.149178,0.299405,0.527602
0.149180,0.299407,0.527894
0.149181,0.299408,0.528188
0.149183,0.299409,0.528483
0.149185,0.299410,0.528780
0.149187,0.299412,0.529078
0.149188,0.299413,0.529378
0.149190,0.299414,0.529680
0.149192,0.299415,0.529983
0.149194,0.299417,0.530287
0.149195,0.299418,0.530593
0.149197,0.299419,0.530900
0.149199,0.299420,0.531209
0.149201,0.299422,0.531519
0.149202,0.299423,0.531831
0.149204,0.299424,0.532144
0.149206,0.299426,0.532459
0.149208,0.299427,0.532775
0.149210,0.299428,0.533092
0.149212,0.299430,0.533411
0.149213,0.299431,0.533731
0.149215,0.299432,0.534053
0.149217,0.299434,0.534376
0.149219,0.299435,0.534701
0.149221,0.299436,0.535027
0.149223,0.299438,0.535354
0.149225,0.299439,0.535682
0.149227,0.299440,0.536012
0.149228,0.299442,0.536344
0.149230,0.299443,0.536676
0.149232,0.299445,0.537010
0.149234,0.299446,0.537346
0.149236,0.299447,0.537682
0.149238,0.299449,0.538020
0.149240,0.299450,0.538359
0.149242,0.299452,0.538700
0.149244,0.299453,0.539042
0.149246,0.299455,0.539385
0.149248,0.299456,0.539729
0.149250,0.299457,0.540075
0.149252,0.299459,0.540422
0.149254,0.299460,0.540770
0.149256,0.299462,0.541119
0.149258,0.299463,0.541470
0.149260,0.299465,0.541821
0.149262,0.299466,0.542174
0.149264,0.299468,0.542528
0.149266,0.299469,0.542884
0.149268,0.299471,0.543240
0.149270,0.299472,0.543598
0.149272,0.299474,0.543957
0.149274,0.299475,0.544317
0.149277,0.299477,0.544678
0.149279,0.299478,0.545040
0.149281,0.299480,0.545404
