x,y,z
0.146985,0.299469,0.669865
0.146985,0.299469,0.669865
0.146985,0.299469,0.669865
0.146985,0.299469,0.669865
0.146985,0.299469,0.669865
0.146985,0.299469,0.669865
0.146985,0.299469,0.669865
0.146985,0.299469,0.669865
0.146984,0.299469,0.669865
0.146984,0.299469,0.669865
0.146984,0.299469,0.669865
0.146984,0.299469,0.669865
0.146984,0.299469,0.669865
0.146983,0.299469,0.669865
0.146983,0.299469,0.669865
0.146983,0.299469,0.669865
0.146982,0.299469,0.669865
0.146982,0.299469,0.669865
0.146981,0.299469,0.669865
0.146981,0.299469,0.669865
0.146980,0.299469,0.669865
0.146979,0.299469,0.669865
0.146979,0.299469,0.669865
0.146978,0.299469,0.669865
0.146977,0.299469,0.669865
0.146976,0.299469,0.669865
0.146975,0.299469,0.669865
0.146974,0.299469,0.669865
0.146972,0.299469,0.669865
0.146971,0.299469,0.669865
0.146969,0.299469,0.669865
0.146968,0.299469,0.669865
0.146966,0.299469,0.669865
0.146964,0.299469,0.669865
0.146963,0.299469,0.669865
0.146961,0.299469,0.669865
0.146958,0.299469,0.669865
0.146956,0.299469,0.669865
0.146954,0.299469,0.669865
0.146951,0.299469,0.669865
0.146949,0.299469,0.669865
0.146946,0.299469,0.669865
0.146943,0.299469,0.669865
0.146940,0.299469,0.669865
0.146937,0.299469,0.669865
0.146934,0.299469,0.669865
0.146930,0.299469,0.669865
0.146927,0.299469,0.669865
0.146923,0.299469,0.669865
0.146919,0.299469,0.669865
0.146915,0.299469,0.669865
0.146911,0.299469,0.669865
0.146907,0.299469,0.669865
0.146902,0.299469,0.669865
0.146898,0.299469,0.669865
0.146893,0.299469,0.669865
0.146888,0.299469,0.669865
0.146883,0.299469,0.669865
0.146877,0.299469,0.669865
0.146872,0.299469,0.669865
0.146866,0.299469,0.669865
0.146860,0.299469,0.669865
0.146854,0.299469,0.669865
0.146848,0.299469,0.669865
0.146841,0.299469,0.669865
0.146835,0.299469,0.669865
0.146828,0.299469,0.669865
0.146821,0.299469,0.669865
0.146813,0.299469,0.669865
0.146806,0.299469,0.669865
0.146798,0.299469,0.669866
0.146790,0.299469,0.669866
0.146782,0.299469,0.669866
0.146774,0.299469,0.669866
0.146765,0.299469,0.669866
0.146757,0.299469,0.669866
0.146748,0.299469,0.669866
0.146738,0.299469,0.669866
0.146729,0.299470,0.669866
0.146719,0.299470,0.669866
0.146709,0.299470,0.669866
0.146699,0.299470,0.669866
0.146689,0.299470,0.669866
0.146678,0.299470,0.669866
0.146667,0.299470,0.669866
0.146656,0.299470,0.669866
0.146645,0.299470,0.669866
0.146633,0.299470,0.669866
0.146621,0.299470,0.669866
0.146609,0.299470,0.669866
0.146597,0.299470,0.669866
0.146584,0.299470,0.669866
0.146571,0.299470,0.669866
0.146558,0.299470,0.669866
0.146544,0.299470,0.669866
0.146531,0.299470,0.669866
0.146517,0.299470,0.669866
0.146502,0.299470,0.669866
0.146488,0.299470,0.669866
0.146473,0.299470,0.669866
0.146458,0.299470,0.669866
0.146442,0.299470,0.669866
0.146427,0.299470,0.669866
0.146411,0.299470,0.669866
0.146395,0.299470,0.669866
0.146378,0.299470,0.669866
0.146361,0.299470,0.669866
0.146344,0.299471,0.669866
0.146327,0.299471,0.669866
0.146309,0.299471,0.669866
0.146291,0.299471,0.669866
0.146272,0.299471,0.669866
0.146254,0.299471,0.669866
0.146235,0.299471,0.669866
0.146216,0.299471,0.669866
0.146196,0.299471,0.669866
0.146176,0.299471,0.669866
0.146156,0.299471,0.669866
0.146135,0.299471,0.669866
0.146114,0.299471,0.669866
0.146093,0.299471,0.669866
0.146072,0.299471,0.669866
0.146050,0.299471,0.669866
0.146028,0.299471,0.669866
0.146005,0.299471,0.669866
0.145983,0.299472,0.669866
0.145959,0.299472,0.669866
0.145936,0.299472,0.669866
0.145912,0.299472,0.669866
0.145888,0.299472,0.669866
0.145863,0.299472,0.669866
0.145838,0.299472,0.669866
0.145813,0.299472,0.669866
0.145788,0.299472,0.669866
0.145762,0.299472,0.669866
0.145736,0.299472,0.669866
0.145709,0.299472,0.669866
0.145682,0.299472,0.669866
0.145655,0.299472,0.669866
0.145627,0.299472,0.669866
0.145599,0.299473,0.669866
0.145571,0.299473,0.669866
0.145542,0.299473,0.669866
0.145513,0.299473,0.669866
0.145483,0.299473,0.669866
0.145453,0.299473,0.669866
0.145423,0.299473,0.669866
0.145393,0.299473,0.669866
0.145362,0.299473,0.669866
0.145330,0.299473,0.669867
0.145299,0.299473,0.669867
0.145266,0.299473,0.669867
0.145234,0.299474,0.669867
0.145201,0.299474,0.669867
0.145168,0.299474,0.669867
0.145134,0.299474,0.669867
0.145100,0.299474,0.669867
0.145066,0.299474,0.669867
0.145031,0.299474,0.669867
0.144996,0.299474,0.669867
0.144960,0.299474,0.669867
0.144924,0.299474,0.669867
0.144888,0.299474,0.669867
0.144851,0.299475,0.669867
0.144814,0.299475,0.669867
0.144776,0.299475,0.669867
0.144738,0.299475,0.669867
0.144700,0.299475,0.669867
0.144661,0.299475,0.669867
0.144622,0.299475,0.669867
0.144583,0.299475,0.669867
0.144543,0.299475,0.669867
0.144502,0.299476,0.669867
0.144461,0.299476,0.669867
0.144420,0.299476,0.669867
0.144379,0.299476,0.669867
0.144336,0.299476,0.669867
0.144294,0.299476,0.669867
0.144251,0.299476,0.669867
0.144208,0.299476,0.669867
0.144164,0.299476,0.669867
0.144120,0.299477,0.669867
0.144075,0.299477,0.669867
0.144030,0.299477,0.669867
0.143985,0.299477,0.669867
0.143939,0.299477,0.669867
0.143893,0.299477,0.669867
0.143846,0.299477,0.669868
0.143799,0.299477,0.669868
0.143751,0.299478,0.669868
0.143704,0.299478,0.669868
0.143655,0.299478,0.669868
0.143606,0.299478,0.669868
0.143557,0.299478,0.669868
0.143507,0.299478,0.669868
0.143457,0.299478,0.669868
0.143406,0.299478,0.669868
0.143355,0.299479,0.669868
0.143304,0.299479,0.669868
0.143252,0.299479,0.669868
0.143200,0.299479,0.669868
0.143147,0.299479,0.669868
0.143093,0.299479,0.669868
0.143040,0.299479,0.669868
0.142986,0.299480,0.669868
0.142931,0.299480,0.669868
0.142876,0.299480,0.669868
0.142820,0.299480,0.669868
0.142764,0.299480,0.669868
0.142708,0.299480,0.669868
0.142651,0.299480,0.669868
0.142594,0.299481,0.669868
0.142536,0.299481,0.669868
0.142478,0.299481,0.669868
0.142419,0.299481,0.669868
0.142360,0.299481,0.669869
0.142300,0.299481,0.669869
