x,y,z
-0.053635,0.300019,0.669223
-0.053635,0.300019,0.669223
-0.053635,0.300019,0.669223
-0.053635,0.300019,0.669223
-0.053635,0.300019,0.669222
-0.053635,0.300019,0.669222
-0.053635,0.300019,0.669222
-0.053635,0.300019,0.669221
-0.053635,0.300019,0.669221
-0.053635,0.300019,0.669220
-0.053635,0.300019,0.669219
-0.053635,0.300019,0.669217
-0.053635,0.300019,0.669216
-0.053635,0.300019,0.669214
-0.053634,0.300019,0.669212
-0.053634,0.300019,0.669210
-0.053634,0.300019,0.669207
-0.053634,0.300019,0.669204
-0.053634,0.300019,0.669200
-0.053634,0.300019,0.669196
-0.053634,0.300019,0.669192
-0.053634,0.300019,0.669187
-0.053634,0.300019,0.669182
-0.053634,0.300019,0.669176
-0.053634,0.300019,0.669170
-0.053633,0.300019,0.669163
-0.053633,0.300019,0.669156
-0.053633,0.300019,0.669148
-0.053633,0.300019,0.669139
-0.053633,0.300019,0.669130
-0.053633,0.300019,0.669121
-0.053632,0.300019,0.669110
-0.053632,0.300019,0.669100
-0.053632,0.300019,0.669088
-0.053632,0.300019,0.669076
-0.053631,0.300019,0.669063
-0.053631,0.300019,0.669049
-0.053631,0.300019,0.669034
-0.053630,0.300019,0.669019
-0.053630,0.300019,0.669003
-0.053630,0.300019,0.668986
-0.053629,0.300019,0.668968
-0.053629,0.300019,0.668950
-0.053628,0.300019,0.668931
-0.053628,0.300019,0.668910
-0.053628,0.300019,0.668889
-0.053627,0.300019,0.668867
-0.053627,0.300019,0.668844
-0.053626,0.300019,0.668821
-0.053626,0.300019,0.668796
-0.053625,0.300019,0.668770
-0.053624,0.300019,0.668743
-0.053624,0.300019,0.668716
-0.053623,0.300019,0.668687
-0.053623,0.300019,0.668657
-0.053622,0.300019,0.668627
-0.053621,0.300019,0.668595
-0.053621,0.300019,0.668562
-0.053620,0.300019,0.668528
-0.053619,0.300019,0.668493
-0.053618,0.300019,0.668457
-0.053617,0.300019,0.668420
-0.053617,0.300019,0.668381
-0.053616,0.300019,0.668342
-0.053615,0.300019,0.668301
-0.053614,0.300019,0.668259
-0.053613,0.300019,0.668216
-0.053612,0.300019,0.668172
-0.053611,0.300019,0.668127
-0.053610,0.300019,0.668080
-0.053609,0.300019,0.668032
-0.053608,0.300019,0.667983
-0.053607,0.300019,0.667933
-0.053606,0.300019,0.667881
-0.053605,0.300019,0.667828
-0.053604,0.300019,0.667774
-0.053602,0.300019,0.667719
-0.053601,0.300019,0.667662
-0.053600,0.300019,0.667604
-0.053599,0.300019,0.667544
-0.053597,0.300019,0.667484
-0.053596,0.300019,0.667421
-0.053595,0.300019,0.667358
-0.053593,0.300019,0.667293
-0.053592,0.300019,0.667227
-0.053590,0.300019,0.667159
-0.053589,0.300019,0.667090
-0.053587,0.300019,0.667020
-0.053586,0.300019,0.666948
-0.053584,0.300019,0.666874
-0.053583,0.300019,0.666800
-0.053581,0.300019,0.666723
-0.053579,0.300019,0.666646
-0.053578,0.300019,0.666567
-0.053576,0.300019,0.666486
-0.053574,0.300019,0.666404
-0.053572,0.300019,0.666320
-0.053571,0.300019,0.666235
-0.053569,0.300019,0.666149
-0.053567,0.300019,0.666061
-0.053565,0.300019,0.665971
-0.053563,0.300019,0.665880
-0.053561,0.300019,0.665787
-0.053559,0.300019,0.665693
-0.053557,0.300019,0.665597
-0.053555,0.300019,0.665500
-0.053553,0.300019,0.665401
-0.053550,0.300019,0.665300
-0.053548,0.300019,0.665198
-0.053546,0.300019,0.665095
-0.053544,0.300019,0.664989
-0.053541,0.300019,0.664883
-0.053539,0.300019,0.664774
-0.053537,0.300019,0.664664
-0.053534,0.300019,0.664552
-0.053532,0.300019,0.664439
-0.053529,0.300019,0.664324
-0.053527,0.300019,0.664208
-0.053524,0.300019,0.664090
-0.053522,0.300019,0.663970
-0.053519,0.300018,0.663848
-0.053517,0.300018,0.663725
-0.053514,0.300018,0.663601
-0.053511,0.300018,0.663474
-0.053508,0.300018,0.663346
-0.053506,0.300018,0.663216
-0.053503,0.300018,0.663085
-0.053500,0.300018,0.662952
-0.053497,0.300018,0.662817
-0.053494,0.300018,0.662681
-0.053491,0.300018,0.662542
-0.053488,0.300018,0.662403
-0.053485,0.300018,0.662261
-0.053482,0.300018,0.662118
-0.053479,0.300018,0.661973
-0.053476,0.300018,0.661826
-0.053473,0.300018,0.661678
-0.053469,0.300018,0.661528
-0.053466,0.300018,0.661376
-0.053463,0.300018,0.661223
-0.053460,0.300018,0.661068
-0.053456,0.300018,0.660911
-0.053453,0.300018,0.660752
-0.053449,0.300018,0.660592
-0.053446,0.300018,0.660430
-0.053442,0.300018,0.660266
-0.053439,0.300018,0.660101
-0.053435,0.300018,0.659933
-0.053432,0.300018,0.659764
-0.053428,0.300018,0.659594
-0.053424,0.300018,0.659421
-0.053420,0.300018,0.659247
-0.053417,0.300018,0.659071
-0.053413,0.300018,0.658894
-0.053409,0.300018,0.658714
-0.053405,0.300018,0.658533
-0.053401,0.300018,0.658350
-0.053397,0.300018,0.658166
-0.053393,0.300018,0.657980
-0.053389,0.300018,0.657791
-0.053385,0.300018,0.657602
-0.053381,0.300018,0.657410
-0.053377,0.300018,0.657217
-0.053373,0.300018,0.657022
-0.053368,0.300018,0.656825
-0.053364,0.300018,0.656627
-0.053360,0.300018,0.656427
-0.053356,0.300018,0.656225
-0.053351,0.300018,0.656021
-0.053347,0.300018,0.655816
-0.053342,0.300018,0.655609
-0.053338,0.300018,0.655400
-0.053333,0.300018,0.655189
-0.053329,0.300017,0.654977
-0.053324,0.300017,0.654763
-0.053319,0.300017,0.654547
-0.053315,0.300017,0.654330
-0.053310,0.300017,0.654110
-0.053305,0.300017,0.653889
-0.053301,0.300017,0.653667
-0.053296,0.300017,0.653442
-0.053291,0.300017,0.653216
-0.053286,0.300017,0.652989
-0.053281,0.300017,0.652759
-0.053276,0.300017,0.652528
-0.053271,0.300017,0.652295
-0.053266,0.300017,0.652061
-0.053261,0.300017,0.651824
-0.053256,0.300017,0.651586
-0.053251,0.300017,0.651347
-0.053246,0.300017,0.651105
-0.053240,0.300017,0.650862
-0.053235,0.300017,0.650618
-0.053230,0.300017,0.650371
-0.053224,0.300017,0.650123
-0.053219,0.300017,0.649873
-0.053214,0.300017,0.649622
-0.053208,0.300017,0.649369
-0.053203,0.300017,0.649114
-0.053197,0.300017,0.648858
-0.053192,0.300017,0.648600
-0.053186,0.300017,0.648340
-0.053181,0.300017,0.648079
-0.053175,0.300017,0.647816
-0.053169,0.300017,0.647551
-0.053163,0.300017,0.647285
-0.053158,0.300017,0.647017
-0.053152,0.300017,0.646748
-0.053146,0.300017,0.646477
-0.053140,0.300016,0.646204
-0.053134,0.300016,0.645930
-0.053128,0.300016,0.645654
-0.053123,0.300016,0.645376
-0.053117,0.300016,0.645097
-0.053110,0.300016,0.644816
-0.053104,0.300016,0.644534
-0.053098,0.300016,0.644250
-0.053092,0.300016,0.643965
-0.053086,0.300016,0.643678
-0.053080,0.300016,0.643389
-0.053074,0.300016,0.643099
-0.053067,0.300016,0.642808
-0.053061,0.300016,0.642515
-0.053055,0.300016,0.642220
-0.053048,0.300016,0.641924
-0.053042,0.300016,0.641626
-0.053036,0.300016,0.641327
-0.053029,0.300016,0.641026
-0.053023,0.300016,0.640724
-0.053016,0.300016,0.640420
-0.053009,0.300016,0.640114
-0.053003,0.300016,0.639808
-0.052996,0.300016,0.639500
-0.052990,0.300016,0.639190
-0.052983,0.300016,0.638879
-0.052976,0.300016,0.638566
-0.052969,0.300016,0.638252
-0.052963,0.300016,0.637936
-0.052956,0.300016,0.637619
-0.052949,0.300015,0.637301
-0.052942,0.300015,0.636981
-0.052935,0.300015,0.636660
-0.052928,0.300015,0.636337
-0.052921,0.300015,0.636013
-0.052914,0.300015,0.635688
-0.052907,0.300015,0.635361
-0.052900,0.300015,0.635033
-0.052893,0.300015,0.634704
-0.052886,0.300015,0.634373
-0.052879,0.300015,0.634040
-0.052872,0.300015,0.633707
-0.052865,0.300015,0.633372
-0.052857,0.300015,0.633036
-0.052850,0.300015,0.632698
-0.052843,0.300015,0.632359
-0.052836,0.300015,0.632019
-0.052828,0.300015,0.631677
-0.052821,0.300015,0.631335
-0.052814,0.300015,0.630991
-0.052806,0.300015,0.630645
-0.052799,0.300015,0.630299
-0.052791,0.300015,0.629951
-0.052784,0.300015,0.629602
-0.052776,0.300015,0.629251
-0.052769,0.300015,0.628900
-0.052761,0.300015,0.628547
-0.052753,0.300014,0.628193
-0.052746,0.300014,0.627838
-0.052738,0.300014,0.627481
-0.052730,0.300014,0.627124
-0.052723,0.300014,0.626765
-0.052715,0.300014,0.626405
-0.052707,0.300014,0.626044
-0.052699,0.300014,0.625682
-0.052692,0.300014,0.625319
-0.052684,0.300014,0.624954
-0.052676,0.300014,0.624589
-0.052668,0.300014,0.624222
-0.052660,0.300014,0.623854
-0.052652,0.300014,0.623485
-0.052644,0.300014,0.623115
-0.052636,0.300014,0.622744
-0.052628,0.300014,0.622372
-0.052620,0.300014,0.621999
-0.052612,0.300014,0.621625
-0.052604,0.300014,0.621250
-0.052596,0.300014,0.620873
-0.052588,0.300014,0.620496
-0.052580,0.300014,0.620118
-0.052572,0.300014,0.619739
-0.052564,0.300013,0.619358
-0.052555,0.300013,0.618977
-0.052547,0.300013,0.618595
-0.052539,0.300013,0.618212
-0.052531,0.300013,0.617828
-0.052523,0.300013,0.617443
-0.052514,0.300013,0.617057
-0.052506,0.300013,0.616670
-0.052498,0.300013,0.616283
-0.052489,0.300013,0.615894
-0.052481,0.300013,0.615505
-0.052473,0.300013,0.615114
-0.052464,0.300013,0.614723
-0.052456,0.300013,0.614331
-0.052447,0.300013,0.613938
-0.052439,0.300013,0.613545
-0.052430,0.300013,0.613150
-0.052422,0.300013,0.612755
-0.052413,0.300013,0.612359
-0.052405,0.300013,0.611962
-0.052396,0.300013,0.611564
-0.052388,0.300013,0.611166
-0.052379,0.300012,0.610767
-0.052371,0.300012,0.610367
-0.052362,0.300012,0.609966
-0.052353,0.300012,0.609565
-0.052345,0.300012,0.609163
-0.052336,0.300012,0.608760
-0.052327,0.300012,0.608357
-0.052319,0.300012,0.607953
-0.052310,0.300012,0.607548
-0.052301,0.300012,0.607143
-0.052293,0.300012,0.606737
-0.052284,0.300012,0.606330
-0.052275,0.300012,0.605923
-0.052266,0.300012,0.605515
-0.052258,0.300012,0.605106
-0.052249,0.300012,0.604697
-0.052240,0.300012,0.604288
-0.052231,0.300012,0.603878
-0.052222,0.300012,0.603467
-0.052214,0.300012,0.603056
-0.052205,0.300012,0.602644
-0.052196,0.300012,0.602232
-0.052187,0.300011,0.601819
-0.052178,0.300011,0.601406
-0.052169,0.300011,0.600992
-0.052160,0.300011,0.600578
-0.052151,0.300011,0.600163
-0.052142,0.300011,0.599748
-0.052134,0.300011,0.599333
-0.052125,0.300011,0.598917
-0.052116,0.300011,0.598500
-0.052107,0.300011,0.598084
-0.052098,0.300011,0.597666
-0.052089,0.300011,0.597249
-0.052080,0.300011,0.596831
-0.052071,0.300011,0.596413
-0.052062,0.300011,0.595994
-0.052053,0.300011,0.595576
-0.052044,0.300011,0.595156
-0.052035,0.300011,0.594737
-0.052026,0.300011,0.594317
-0.052017,0.300011,0.593897
-0.052008,0.300011,0.593477
-0.051999,0.300010,0.593056
-0.051990,0.300010,0.592636
