x,y,z
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053588,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502705
-0.053587,0.300419,0.502704
-0.053586,0.300419,0.502704
-0.053586,0.300419,0.502704
-0.053586,0.300419,0.502704
-0.053586,0.300419,0.502704
-0.053586,0.300419,0.502704
-0.053586,0.300419,0.502704
-0.053586,0.300419,0.502704
-0.053585,0.300419,0.502704
-0.053585,0.300419,0.502704
-0.053585,0.300419,0.502703
-0.053585,0.300419,0.502703
-0.053585,0.300419,0.502703
-0.053585,0.300419,0.502703
-0.053584,0.300419,0.502703
-0.053584,0.300419,0.502703
-0.053584,0.300419,0.502703
-0.053584,0.300419,0.502702
-0.053583,0.300419,0.502702
-0.053583,0.300419,0.502702
-0.053583,0.300419,0.502702
-0.053583,0.300419,0.502702
-0.053582,0.300418,0.502701
-0.053582,0.300418,0.502701
-0.053582,0.300418,0.502701
-0.053582,0.300418,0.502701
-0.053581,0.300418,0.502701
-0.053581,0.300418,0.502700
-0.053581,0.300418,0.502700
-0.053580,0.300418,0.502700
-0.053580,0.300418,0.502699
-0.053579,0.300418,0.502699
-0.053579,0.300418,0.502699
-0.053579,0.300418,0.502699
-0.053578,0.300418,0.502698
-0.053578,0.300418,0.502698
-0.053577,0.300418,0.502698
-0.053577,0.300418,0.502697
-0.053577,0.300418,0.502697
-0.053576,0.300418,0.502697
-0.053576,0.300418,0.502696
-0.053575,0.300418,0.502696
-0.053575,0.300418,0.502696
-0.053574,0.300418,0.502695
-0.053574,0.300417,0.502695
-0.053573,0.300417,0.502694
-0.053573,0.300417,0.502694
-0.053572,0.300417,0.502694
-0.053571,0.300417,0.502693
-0.053571,0.300417,0.502693
-0.053570,0.300417,0.502692
-0.053570,0.300417,0.502692
-0.053569,0.300417,0.502691
-0.053568,0.300417,0.502691
-0.053568,0.300417,0.502690
-0.053567,0.300417,0.502690
-0.053566,0.300417,0.502689
-0.053566,0.300417,0.502689
-0.053565,0.300416,0.502688
-0.053564,0.300416,0.502688
-0.053563,0.300416,0.502687
-0.053563,0.300416,0.502687
-0.053562,0.300416,0.502686
-0.053561,0.300416,0.502685
-0.053560,0.300416,0.502685
-0.053559,0.300416,0.502684
-0.053559,0.300416,0.502683
-0.053558,0.300416,0.502683
-0.053557,0.300416,0.502682
-0.053556,0.300415,0.502682
-0.053555,0.300415,0.502681
-0.053554,0.300415,0.502680
-0.053553,0.300415,0.502679
-0.053552,0.300415,0.502679
-0.053551,0.300415,0.502678
-0.053550,0.300415,0.502677
-0.053549,0.300415,0.502677
-0.053548,0.300415,0.502676
-0.053547,0.300414,0.502675
-0.053546,0.300414,0.502674
-0.053545,0.300414,0.502673
-0.053544,0.300414,0.502673
-0.053543,0.300414,0.502672
-0.053542,0.300414,0.502671
-0.053541,0.300414,0.502670
-0.053540,0.300414,0.502669
-0.053539,0.300413,0.502668
-0.053537,0.300413,0.502668
-0.053536,0.300413,0.502667
-0.053535,0.300413,0.502666
-0.053534,0.300413,0.502665
-0.053533,0.300413,0.502664
-0.053531,0.300413,0.502663
-0.053530,0.300412,0.502662
-0.053529,0.300412,0.502661
-0.053527,0.300412,0.502660
-0.053526,0.300412,0.502659
-0.053525,0.300412,0.502658
-0.053523,0.300412,0.502657
-0.053522,0.300411,0.502656
-0.053521,0.300411,0.502655
-0.053519,0.300411,0.502654
-0.053518,0.300411,0.502653
-0.053516,0.300411,0.502652
-0.053515,0.300411,0.502650
-0.053513,0.300410,0.502649
-0.053512,0.300410,0.502648
-0.053510,0.300410,0.502647
-0.053509,0.300410,0.502646
-0.053507,0.300410,0.502645
-0.053506,0.300410,0.502643
-0.053504,0.300409,0.502642
-0.053502,0.300409,0.502641
-0.053501,0.300409,0.502640
-0.053499,0.300409,0.502639
-0.053497,0.300409,0.502637
-0.053496,0.300408,0.502636
-0.053494,0.300408,0.502635
-0.053492,0.300408,0.502633
-0.053490,0.300408,0.502632
-0.053489,0.300408,0.502631
-0.053487,0.300407,0.502629
-0.053485,0.300407,0.502628
-0.053483,0.300407,0.502627
-0.053481,0.300407,0.502625
-0.053479,0.300406,0.502624
-0.053478,0.300406,0.502622
-0.053476,0.300406,0.502621
-0.053474,0.300406,0.502619
-0.053472,0.300406,0.502618
-0.053470,0.300405,0.502616
-0.053468,0.300405,0.502615
-0.053466,0.300405,0.502613
-0.053464,0.300405,0.502612
-0.053462,0.300404,0.502610
-0.053460,0.300404,0.502609
-0.053458,0.300404,0.502607
-0.053455,0.300404,0.502606
-0.053453,0.300403,0.502604
-0.053451,0.300403,0.502602
-0.053449,0.300403,0.502601
-0.053447,0.300403,0.502599
-0.053445,0.300402,0.502597
-0.053442,0.300402,0.502596
-0.053440,0.300402,0.502594
-0.053438,0.300402,0.502592
-0.053435,0.300401,0.502591
-0.053433,0.300401,0.502589
-0.053431,0.300401,0.502587
-0.053428,0.300401,0.502585
-0.053426,0.300400,0.502584
-0.053424,0.300400,0.502582
-0.053421,0.300400,0.502580
-0.053419,0.300399,0.502578
-0.053416,0.300399,0.502576
-0.053414,0.300399,0.502574
-0.053411,0.300399,0.502572
-0.053409,0.300398,0.502571
-0.053406,0.300398,0.502569
-0.053404,0.300398,0.502567
-0.053401,0.300397,0.502565
-0.053399,0.300397,0.502563
-0.053396,0.300397,0.502561
-0.053393,0.300396,0.502559
-0.053391,0.300396,0.502557
-0.053388,0.300396,0.502555
-0.053385,0.300395,0.502553
-0.053383,0.300395,0.502551
-0.053380,0.300395,0.502549
-0.053377,0.300395,0.502547
-0.053374,0.300394,0.502544
-0.053371,0.300394,0.502542
-0.053369,0.300394,0.502540
-0.053366,0.300393,0.502538
-0.053363,0.300393,0.502536
-0.053360,0.300393,0.502534
-0.053357,0.300392,0.502532
-0.053354,0.300392,0.502529
-0.053351,0.300391,0.502527
-0.053348,0.300391,0.502525
-0.053345,0.300391,0.502523
-0.053342,0.300390,0.502520
-0.053339,0.300390,0.502518
-0.053336,0.300390,0.502516
-0.053333,0.300389,0.502513
-0.053330,0.300389,0.502511
-0.053327,0.300389,0.502509
-0.053324,0.300388,0.502506
-0.053321,0.300388,0.502504
-0.053317,0.300388,0.502502
-0.053314,0.300387,0.502499
-0.053311,0.300387,0.502497
-0.053308,0.300386,0.502494
-0.053304,0.300386,0.502492
-0.053301,0.300386,0.502489
-0.053298,0.300385,0.502487
-0.053295,0.300385,0.502484
-0.053291,0.300384,0.502482
-0.053288,0.300384,0.502479
-0.053284,0.300384,0.502477
-0.053281,0.300383,0.502474
-0.053278,0.300383,0.502472
-0.053274,0.300382,0.502469
-0.053271,0.300382,0.502466
-0.053267,0.300382,0.502464
-0.053264,0.300381,0.502461
-0.053260,0.300381,0.502458
-0.053257,0.300380,0.502456
-0.053253,0.300380,0.502453
-0.053249,0.300380,0.502450
-0.053246,0.300379,0.502448
-0.053242,0.300379,0.502445
-0.053239,0.300378,0.502442
-0.053235,0.300378,0.502439
-0.053231,0.300377,0.502437
-0.053228,0.300377,0.502434
-0.053224,0.300377,0.502431
-0.053220,0.300376,0.502428
-0.053216,0.300376,0.502425
-0.053212,0.300375,0.502422
-0.053209,0.300375,0.502420
-0.053205,0.300374,0.502417
-0.053201,0.300374,0.502414
-0.053197,0.300373,0.502411
-0.053193,0.300373,0.502408
-0.053189,0.300373,0.502405
-0.053185,0.300372,0.502402
-0.053181,0.300372,0.502399
-0.053177,0.300371,0.502396
-0.053173,0.300371,0.502393
-0.053169,0.300370,0.502390
-0.053165,0.300370,0.502387
-0.053161,0.300369,0.502384
-0.053157,0.300369,0.502381
-0.053153,0.300368,0.502378
-0.053149,0.300368,0.502375
-0.053145,0.300367,0.502371
-0.053141,0.300367,0.502368
-0.053137,0.300366,0.502365
-0.053132,0.300366,0.502362
-0.053128,0.300365,0.502359
-0.053124,0.300365,0.502356
-0.053120,0.300364,0.502352
-0.053115,0.300364,0.502349
-0.053111,0.300363,0.502346
-0.053107,0.300363,0.502343
-0.053103,0.300362,0.502340
-0.053098,0.300362,0.502336
-0.053094,0.300361,0.502333
-0.053089,0.300361,0.502330
-0.053085,0.300360,0.502326
-0.053081,0.300360,0.502323
-0.053076,0.300359,0.502320
-0.053072,0.300359,0.502316
-0.053067,0.300358,0.502313
-0.053063,0.300358,0.502310
-0.053058,0.300357,0.502306
-0.053054,0.300357,0.502303
-0.053049,0.300356,0.502299
-0.053045,0.300356,0.502296
-0.053040,0.300355,0.502292
-0.053035,0.300355,0.502289
-0.053031,0.300354,0.502285
-0.053026,0.300354,0.502282
-0.053021,0.300353,0.502278
-0.053017,0.300352,0.502275
-0.053012,0.300352,0.502271
-0.053007,0.300351,0.502268
-0.053003,0.300351,0.502264
-0.052998,0.300350,0.502261
-0.052993,0.300350,0.502257
-0.052988,0.300349,0.502253
-0.052983,0.300349,0.502250
-0.052979,0.300348,0.502246
-0.052974,0.300347,0.502242
-0.052969,0.300347,0.502239
-0.052964,0.300346,0.502235
-0.052959,0.300346,0.502231
-0.052954,0.300345,0.502228
-0.052949,0.300345,0.502224
-0.052944,0.300344,0.502220
-0.052939,0.300343,0.502216
-0.052934,0.300343,0.502213
-0.052929,0.300342,0.502209
-0.052924,0.300342,0.502205
-0.052919,0.300341,0.502201
-0.052914,0.300340,0.502198
-0.052909,0.300340,0.502194
-0.052904,0.300339,0.502190
-0.052899,0.300339,0.502186
-0.052894,0.300338,0.502182
-0.052889,0.300337,0.502178
-0.052884,0.300337,0.502174
-0.052878,0.300336,0.502171
-0.052873,0.300336,0.502167
-0.052868,0.300335,0.502163
-0.052863,0.300334,0.502159
-0.052858,0.300334,0.502155
-0.052852,0.300333,0.502151
-0.052847,0.300333,0.502147
-0.052842,0.300332,0.502143
-0.052836,0.300331,0.502139
-0.052831,0.300331,0.502135
-0.052826,0.300330,0.502131
-0.052820,0.300329,0.502127
-0.052815,0.300329,0.502123
-0.052810,0.300328,0.502119
-0.052804,0.300328,0.502115
-0.052799,0.300327,0.502111
-0.052793,0.300326,0.502106
-0.052788,0.300326,0.502102
-0.052783,0.300325,0.502098
-0.052777,0.300324,0.502094
-0.052772,0.300324,0.502090
-0.052766,0.300323,0.502086
-0.052761,0.300322,0.502082
-0.052755,0.300322,0.502078
-0.052749,0.300321,0.502073
-0.052744,0.300321,0.502069
-0.052738,0.300320,0.502065
-0.052733,0.300319,0.502061
-0.052727,0.300319,0.502056
-0.052722,0.300318,0.502052
-0.052716,0.300317,0.502048
-0.052710,0.300317,0.502044
-0.052705,0.300316,0.502039
-0.052699,0.300315,0.502035
-0.052693,0.300315,0.502031
-0.052688,0.300314,0.502027
-0.052682,0.300313,0.502022
-0.052676,0.300313,0.502018
-0.052670,0.300312,0.502014
-0.052665,0.300311,0.502009
-0.052659,0.300311,0.502005
-0.052653,0.300310,0.502001
-0.052647,0.300309,0.501996
-0.052641,0.300309,0.501992
-0.052636,0.300308,0.501987
-0.052630,0.300307,0.501983
-0.052624,0.300307,0.501979
-0.052618,0.300306,0.501974
-0.052612,0.300305,0.501970
-0.052606,0.300304,0.501965
-0.052600,0.300304,0.501961
-0.052594,0.300303,0.501956
-0.052588,0.300302,0.501952
-0.052582,0.300302,0.501947
-0.052577,0.300301,0.501943
-0.052571,0.300300,0.501938
-0.052565,0.300300,0.501934
-0.052559,0.300299,0.501929
-0.052553,0.300298,0.501925
-0.052547,0.300297,0.501920
-0.052541,0.300297,0.501916
-0.052535,0.300296,0.501911
-0.052528,0.300295,0.501907
-0.052522,0.300295,0.501902
-0.052516,0.300294,0.501897
-0.052510,0.300293,0.501893
-0.052504,0.300293,0.501888
-0.052498,0.300292,0.501884
-0.052492,0.300291,0.501879
-0.052486,0.300290,0.501874
-0.052480,0.300290,0.501870
-0.052473,0.300289,0.501865
-0.052467,0.300288,0.501861
-0.052461,0.300288,0.501856
-0.052455,0.300287,0.501851
-0.052449,0.300286,0.501847
-0.052443,0.300285,0.501842
-0.052436,0.300285,0.501837
-0.052430,0.300284,0.501832
-0.052424,0.300283,0.501828
-0.052418,0.300282,0.501823
-0.052411,0.300282,0.501818
-0.052405,0.300281,0.501814
-0.052399,0.300280,0.501809
-0.052393,0.300279,0.501804
-0.052386,0.300279,0.501799
-0.052380,0.300278,0.501795
-0.052374,0.300277,0.501790
-0.052367,0.300277,0.501785
-0.052361,0.300276,0.501780
-0.052355,0.300275,0.501776
-0.052348,0.300274,0.501771
-0.052342,0.300274,0.501766
-0.052336,0.300273,0.501761
-0.052329,0.300272,0.501756
-0.052323,0.300271,0.501752
-0.052316,0.300271,0.501747
-0.052310,0.300270,0.501742
-0.052304,0.300269,0.501737
-0.052297,0.300268,0.501732
-0.052291,0.300268,0.501727
-0.052284,0.300267,0.501723
-0.052278,0.300266,0.501718
-0.052271,0.300265,0.501713
-0.052265,0.300265,0.501708
-0.052259,0.300264,0.501703
-0.052252,0.300263,0.501698
-0.052246,0.300262,0.501693
-0.052239,0.300262,0.501688
-0.052233,0.300261,0.501684
-0.052226,0.300260,0.501679
-0.052220,0.300259,0.501674
-0.052213,0.300259,0.501669
-0.052207,0.300258,0.501664
-0.052200,0.300257,0.501659
-0.052194,0.300256,0.501654
-0.052187,0.300255,0.501649
-0.052180,0.300255,0.501644
-0.052174,0.300254,0.501639
-0.052167,0.300253,0.501634
