x,y,z
-0.049998,0.300000,0.499998
-0.049998,0.300000,0.499998
-0.049998,0.300000,0.499998
-0.049998,0.300000,0.499998
-0.049998,0.300000,0.499998
-0.049998,0.300000,0.499999
-0.049998,0.300000,0.499999
-0.049998,0.300000,0.500000
-0.049998,0.300000,0.500000
-0.049998,0.300000,0.500001
-0.049998,0.300000,0.500002
-0.049998,0.300000,0.500003
-0.049998,0.300000,0.500005
-0.049998,0.300000,0.500007
-0.049998,0.300000,0.500009
-0.049998,0.300000,0.500011
-0.049998,0.300000,0.500014
-0.049998,0.300000,0.500017
-0.049998,0.300000,0.500021
-0.049998,0.300000,0.500025
-0.049998,0.300000,0.500029
-0.049998,0.300000,0.500034
-0.049998,0.300000,0.500039
-0.049998,0.300000,0.500045
-0.049998,0.300000,0.500051
-0.049998,0.300000,0.500058
-0.049998,0.300000,0.500065
-0.049998,0.300000,0.500073
-0.049998,0.300000,0.500082
-0.049998,0.300000,0.500091
-0.049998,0.300000,0.500101
-0.049998,0.300000,0.500111
-0.049998,0.300000,0.500122
-0.049998,0.300000,0.500134
-0.049998,0.300000,0.500146
-0.049998,0.300000,0.500159
-0.049998,0.300000,0.500173
-0.049998,0.300000,0.500188
-0.049998,0.300000,0.500203
-0.049998,0.300000,0.500219
-0.049998,0.300000,0.500236
-0.049998,0.300000,0.500254
-0.049998,0.300000,0.500272
-0.049998,0.300000,0.500292
-0.049998,0.300000,0.500312
-0.049998,0.300000,0.500333
-0.049998,0.300000,0.500355
-0.049998,0.300000,0.500378
-0.049998,0.300000,0.500402
-0.049998,0.300000,0.500427
-0.049998,0.300000,0.500453
-0.049998,0.300000,0.500480
-0.049998,0.300000,0.500508
-0.049998,0.300000,0.500536
-0.049998,0.300000,0.500566
-0.049998,0.300000,0.500597
-0.049998,0.300000,0.500629
-0.049998,0.300000,0.500662
-0.049998,0.300000,0.500696
-0.049998,0.300000,0.500731
-0.049998,0.300000,0.500768
-0.049998,0.300000,0.500805
-0.049998,0.300000,0.500843
-0.049998,0.300000,0.500883
-0.049998,0.300000,0.500924
-0.049998,0.300000,0.500966
-0.049998,0.300000,0.501009
-0.049998,0.300000,0.501054
-0.049998,0.300000,0.501099
-0.049998,0.300000,0.501146
-0.049998,0.300000,0.501194
-0.049998,0.300000,0.501243
-0.049998,0.300000,0.501294
-0.049998,0.300000,0.501346
-0.049998,0.300000,0.501399
-0.049998,0.300000,0.501453
-0.049998,0.300000,0.501509
-0.049998,0.300000,0.501566
-0.049998,0.300000,0.501625
-0.049998,0.300000,0.501684
-0.049998,0.300000,0.501745
-0.049998,0.300000,0.501808
-0.049998,0.300000,0.501872
-0.049998,0.300000,0.501937
-0.049998,0.300000,0.502003
-0.049998,0.300000,0.502071
-0.049998,0.300000,0.502141
-0.049998,0.300000,0.502211
-0.049998,0.300000,0.502284
-0.049998,0.300000,0.502357
-0.049998,0.300000,0.502432
-0.049998,0.300000,0.502509
-0.049998,0.300000,0.502587
-0.049998,0.300000,0.502667
-0.049998,0.300000,0.502748
-0.049998,0.300000,0.502830
-0.049998,0.300000,0.502914
-0.049998,0.300000,0.502999
-0.049998,0.300000,0.503086
-0.049998,0.300000,0.503175
-0.049998,0.300000,0.503265
-0.049998,0.300000,0.503357
-0.049998,0.300000,0.503450
-0.049998,0.300000,0.503544
-0.049998,0.300000,0.503641
-0.049998,0.300000,0.503738
-0.049998,0.300000,0.503838
-0.049998,0.300000,0.503939
-0.049998,0.300000,0.504041
-0.049998,0.300000,0.504145
